Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320b.1.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,17/3/2020,14:31:14,22.5,101.7,44.0,6.68914e-008,1.83006e-005,,9.000,11.000,14.000,16.000,16.000,10.000,23.000,27.000,30.000,38.000,29.000,39.000,37.000,49.000,44.000,48.000,60.000,47.000,41.000,28.000,38.914,26.710,27.376,32.000,27.000,36.081,33.919,23.000,25.000,30.000,26.554,26.446,33.000,32.000,27.387,37.613,22.000,26.000,18.000,36.000,31.628,37.372,31.000,39.000,39.000,34.000,37.000,41.000,25.797,48.203,30.000,39.000,45.000,38.000,45.000,44.000,47.000,44.000,38.000,35.000,36.233,57.117,34.650,42.083,35.917,44.000,42.209,28.791,31.000,33.000,31.000,13.000,14.000,23.000,17.000,14.000,13.000,17.000,6.000,13.000,10.000,4.000,4.000,4.000,6.000,4.000,0.000,1.000,5.000,4.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9626.10, 13.3,749.9,1.000,1.81,7.48,789.5,ON,35.121,60.734,43.265,24.144,2.217,4.448291e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
2,17/3/2020,14:37:13,22.6,101.7,44.0,6.69202e-008,1.83054e-005,,1.000,3.000,8.000,6.000,12.000,13.000,16.000,30.000,18.316,21.862,19.822,13.000,34.000,34.000,35.000,27.000,24.000,32.000,33.000,33.000,39.000,31.000,26.000,38.412,37.588,28.000,33.397,39.603,33.000,29.000,40.382,40.618,34.000,38.274,35.928,28.798,35.000,32.688,37.312,36.956,38.045,39.438,33.562,33.000,38.000,32.000,35.000,29.000,32.000,26.000,43.998,33.002,36.000,39.000,24.000,43.000,44.000,44.000,28.000,33.000,30.000,37.000,36.908,38.092,42.000,40.000,29.000,33.000,37.000,22.000,26.000,15.000,13.822,14.178,17.000,7.000,18.000,14.000,13.000,12.245,7.755,9.000,5.000,6.000,3.000,1.000,1.000,2.000,2.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9630.15, 13.3,749.9,1.000,1.81,7.48,789.6,ON,41.700,64.324,47.204,17.466,2.145,3.893833e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
3,17/3/2020,14:43:13,22.6,101.7,44.0,6.69202e-008,1.83054e-005,,1.000,0.000,2.000,6.000,5.000,5.000,5.000,10.800,10.200,11.674,15.326,22.000,12.000,21.000,13.736,18.264,14.382,14.618,21.000,14.000,23.000,23.000,33.000,26.000,28.000,34.000,35.000,24.000,28.000,20.000,31.000,28.000,36.617,16.383,32.000,18.000,22.000,27.000,28.701,19.299,36.000,24.000,27.000,27.000,24.233,22.767,23.697,26.303,32.000,23.000,22.000,24.000,31.000,24.151,33.849,27.000,25.000,24.000,28.308,32.692,28.825,29.175,33.000,25.700,22.300,25.034,28.967,18.792,24.208,19.000,17.000,19.000,17.000,10.000,20.000,14.000,3.000,7.000,3.000,10.119,5.881,3.000,4.000,0.000,4.000,2.000,1.000,4.000,2.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,1.000,1.000,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9630.15, 13.3,749.9,1.000,1.81,7.47,782.9,ON,45.667,69.270,51.275,29.961,2.116,2.668814e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
4,17/3/2020,14:49:13,22.5,101.7,43.9,6.68914e-008,1.83006e-005,,1.000,1.000,0.000,1.521,3.479,8.000,5.707,7.293,6.000,7.000,4.000,12.000,12.000,12.000,8.000,12.000,7.000,5.000,16.000,11.000,20.000,18.000,21.677,16.323,15.000,16.000,18.000,27.000,18.000,19.000,29.000,22.000,20.000,32.000,29.000,24.000,23.000,26.000,22.000,25.000,25.000,18.000,28.000,16.000,24.000,25.000,20.905,26.095,24.000,13.000,31.000,13.000,22.000,29.357,17.643,18.000,30.000,21.000,23.350,28.650,38.000,27.000,30.432,22.568,25.000,24.190,26.810,20.000,22.000,25.000,20.000,14.000,17.000,7.000,14.000,6.000,10.000,5.000,6.000,8.000,4.000,3.000,3.000,2.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.47,782.8,ON,52.468,74.477,56.384,44.508,2.092,2.141296e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
5,17/3/2020,14:55:13,22.5,101.7,43.8,6.68914e-008,1.83006e-005,,3.000,3.000,7.892,8.108,10.000,15.000,22.707,15.293,11.865,24.135,27.000,25.000,25.473,30.527,29.000,19.000,17.000,34.000,19.000,26.000,25.475,25.716,28.809,29.000,25.000,26.000,23.000,29.000,28.000,31.000,20.000,27.000,18.000,22.000,29.000,19.592,24.175,19.233,17.898,21.102,28.000,26.000,21.000,25.000,21.000,20.000,18.000,12.000,20.118,23.882,28.937,28.063,26.000,24.000,21.000,35.000,26.000,27.840,34.160,29.000,25.000,29.000,34.000,35.000,23.000,24.000,15.000,34.000,21.000,20.000,21.000,32.000,12.000,13.000,10.000,15.000,11.000,10.000,8.596,9.404,7.000,4.000,4.000,5.000,5.000,2.000,1.000,0.000,2.000,1.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.47,782.8,ON,37.330,63.394,44.945,21.674,2.223,3.025209e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
6,17/3/2020,15:01:13,22.5,101.7,43.8,6.68914e-008,1.83006e-005,,1.000,3.000,6.000,1.000,10.000,5.000,12.000,11.000,11.000,15.940,21.060,13.000,25.000,12.000,27.019,24.981,21.000,24.000,28.570,13.430,22.000,21.000,18.000,16.000,14.000,16.000,27.310,19.690,18.000,19.000,23.000,14.000,20.000,29.000,23.000,26.000,23.000,13.000,23.000,21.000,20.000,22.000,20.971,28.029,23.000,26.000,23.021,18.979,21.000,26.946,27.054,29.000,32.000,30.000,37.000,36.000,23.000,31.933,35.067,33.000,45.000,29.000,28.000,38.000,30.000,35.000,34.000,34.000,16.000,32.000,20.000,17.000,22.868,20.132,16.000,10.000,7.541,11.459,5.000,6.000,5.000,3.000,4.000,2.000,2.000,2.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.319,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.48,785.5,ON,47.599,69.801,51.354,22.468,2.194,2.714306e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
7,17/3/2020,15:07:13,22.4,101.7,43.8,6.68626e-008,1.82958e-005,,1.000,3.000,3.000,3.000,1.000,12.000,5.000,12.000,7.000,13.000,12.000,5.000,14.000,15.000,18.000,16.000,17.000,15.000,25.000,25.000,27.000,23.000,19.000,25.000,18.000,20.000,18.000,18.000,24.000,24.000,22.000,24.000,24.000,20.493,28.507,20.000,24.000,23.000,27.000,15.000,27.000,27.715,17.285,26.000,25.000,17.000,20.000,16.000,18.000,19.000,22.000,16.000,16.578,27.423,23.000,16.000,18.000,27.000,29.000,22.000,22.337,29.116,32.547,26.000,24.000,25.000,18.000,24.000,19.000,21.347,9.653,14.000,15.000,12.000,9.000,13.000,8.000,10.000,10.000,6.000,5.000,9.000,0.000,0.000,4.000,3.000,0.000,2.000,1.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.21,9625.74, 13.3,749.9,1.000,1.81,7.48,786.7,ON,45.087,67.989,50.348,27.881,2.134,2.352398e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
8,17/3/2020,15:13:13,22.4,101.7,43.8,6.68626e-008,1.82958e-005,,0.000,0.000,3.000,3.000,2.000,4.000,5.000,4.000,11.000,7.000,6.000,8.000,11.000,15.000,8.000,10.000,15.000,8.000,18.000,14.105,17.895,13.000,20.000,15.000,13.000,20.000,19.000,22.000,19.816,16.184,17.000,22.000,14.000,20.000,21.000,16.000,22.000,15.000,21.000,21.000,19.000,26.842,14.158,24.000,21.000,22.000,25.000,27.000,17.000,33.000,32.000,12.875,19.125,22.000,20.000,32.000,29.006,29.265,24.729,33.000,22.000,30.000,26.823,21.177,19.000,28.000,20.000,23.000,20.000,16.416,8.584,17.816,19.184,12.445,16.555,13.000,10.000,7.000,7.000,4.000,3.000,5.000,5.000,1.000,2.000,2.000,1.000,2.000,1.000,5.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9625.99, 13.3,749.9,1.000,1.81,7.48,789.4,ON,55.673,76.107,57.284,25.946,2.125,2.089448e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
9,17/3/2020,15:19:13,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,1.000,4.000,2.000,5.000,5.000,5.000,13.000,12.000,9.287,14.713,17.000,14.000,17.000,19.000,10.000,18.000,10.000,9.533,16.467,16.000,24.000,16.000,13.000,25.000,17.000,10.000,24.000,13.000,22.000,23.000,23.000,17.000,20.000,19.000,19.615,22.385,19.000,28.000,15.000,27.000,20.000,30.000,21.000,15.000,26.000,23.037,23.963,23.000,16.000,22.000,25.000,17.000,25.000,23.000,22.000,33.102,32.898,32.000,22.000,21.000,25.000,22.000,32.925,26.075,20.000,21.000,15.000,19.000,31.000,18.000,20.000,19.000,12.000,20.000,20.000,8.000,7.000,3.000,10.000,7.000,5.000,6.000,5.000,4.000,3.000,3.000,1.000,3.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.22,9624.64, 13.3,749.9,1.000,1.81,7.48,786.6,ON,48.373,71.141,51.728,27.881,2.204,2.348010e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
