Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320b.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,17/3/2020,14:31:14,22.5,101.7,44.0,6.68914e-008,1.83006e-005,,2507.194,2949.904,3613.827,3975.260,3831.610,2308.137,5116.774,5789.822,6208.986,7591.081,5598.391,7268.195,6671.609,8540.277,7435.443,7805.034,9487.355,7232.370,6091.293,4054.829,5451.814,3624.027,3628.473,4114.511,3370.804,4408.476,4029.642,2658.959,2832.945,3312.143,2858.196,2793.975,3402.630,3222.085,2709.868,3637.686,2092.267,2432.143,1647.811,3243.541,2805.278,3263.935,2666.538,3304.714,3256.210,2797.665,3015.312,3294.004,2053.133,3800.620,2332.955,3005.220,3451.557,2888.415,3389.957,3299.642,3508.702,3269.972,2811.405,2577.876,2668.226,4187.395,2539.768,3084.037,2631.626,3223.235,3091.447,2117.262,2279.265,2436.262,2298.054,967.674,1046.436,1733.929,1286.982,1069.098,996.968,1315.239,468.339,1023.865,794.743,320.813,325.327,328.385,497.256,336.334,0.000,86.172,437.401,353.479,0.000,91.171,92.640,0.000,0.000,0.000,0.000,0.000,101.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,117.312,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9626.10, 13.3,749.9,1.000,1.81,7.48,789.5,ON,35.121,60.734,43.265,24.144,2.217,4.448291e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
2,17/3/2020,14:37:13,22.6,101.7,44.0,6.69202e-008,1.83054e-005,,278.591,804.561,2065.150,1490.799,2873.855,3000.732,3559.678,6433.467,3791.002,4367.411,3826.861,2422.847,6130.983,5926.194,5914.862,4390.535,3795.128,4924.421,4902.977,4779.189,5464.170,4206.292,3446.267,4939.216,4692.898,3421.251,3967.910,4578.596,3739.682,3201.904,4346.854,4291.419,3505.938,3854.048,3555.075,2785.339,3328.780,3057.909,3415.921,3329.808,3374.586,3444.519,2887.081,2796.443,3172.897,2633.235,2852.449,2330.040,2546.925,2050.113,3421.730,2543.131,2761.403,2964.583,1808.073,3224.799,3284.907,3270.153,2071.678,2430.705,2209.326,2712.701,2705.468,2791.657,3077.510,2930.399,2124.090,2426.946,2720.558,1624.262,1927.485,1116.607,1033.205,1068.887,1287.051,534.578,1380.491,1083.196,1014.789,964.492,616.317,721.868,406.680,492.604,248.641,84.088,84.907,172.353,174.970,88.374,0.000,91.176,92.645,0.000,95.200,96.806,98.468,0.000,0.000,0.000,0.000,0.000,0.000,111.226,0.000,0.000,117.319,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9630.15, 13.3,749.9,1.000,1.81,7.48,789.6,ON,41.700,64.324,47.204,17.466,2.145,3.893833e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
3,17/3/2020,14:43:13,22.6,101.7,44.0,6.69202e-008,1.83054e-005,,274.241,0.000,508.226,1467.521,1178.743,1136.107,1095.030,2279.943,2078.143,2295.709,2912.660,4036.181,2130.089,3603.143,2285.008,2923.652,2238.730,2214.403,3071.359,1995.861,3172.131,3072.088,4305.829,3291.012,3441.245,4089.509,4093.409,2731.402,3123.535,2173.730,3284.819,2912.131,3716.826,1623.943,3116.998,1713.766,2059.705,2486.380,2586.584,1711.708,3143.368,2063.450,2286.314,2252.274,1991.776,1844.224,1901.112,2080.341,2507.156,1785.244,1684.209,1820.579,2340.736,1807.188,2510.227,1993.268,1837.281,1755.858,2061.720,2370.444,2089.683,2105.577,2381.200,1854.129,1608.464,1805.301,2088.518,1360.439,1752.205,1380.868,1240.600,1392.285,1250.899,742.146,1490.535,1052.461,226.489,533.141,230.526,784.586,460.088,236.866,320.264,0.000,326.345,165.550,83.582,339.324,172.238,0.000,88.351,0.000,91.199,92.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.665,0.000,0.000,235.826,119.584,122.189,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9630.15, 13.3,749.9,1.000,1.81,7.47,782.9,ON,45.667,69.270,51.275,29.961,2.116,2.668814e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
4,17/3/2020,14:49:13,22.5,101.7,43.9,6.68914e-008,1.83006e-005,,274.227,263.986,0.000,372.088,820.040,1817.678,1249.826,1539.454,1222.407,1376.523,760.135,2201.440,2129.979,2058.833,1330.790,1920.781,1089.573,757.387,2339.962,1568.096,2758.232,2404.103,2828.309,2065.957,1843.428,1924.375,2105.073,3072.649,2007.872,2064.937,3072.736,2287.971,2030.001,3171.790,2824.632,2284.902,2153.216,2394.167,1982.557,2217.289,2182.780,1547.507,2370.868,1334.611,1972.534,2024.987,1677.023,2063.791,1880.268,1008.998,2373.079,986.095,1661.080,2196.595,1308.351,1328.768,2204.621,1536.294,1700.579,2077.222,2754.637,1948.518,2195.785,1628.050,1803.145,1744.391,1932.906,1447.832,1592.286,1816.846,1459.451,1025.839,1250.832,519.474,1043.319,451.031,754.931,380.795,461.026,620.233,312.933,236.853,240.185,161.629,81.582,82.771,0.000,84.826,86.114,0.000,0.000,89.747,91.194,92.689,0.000,0.000,0.000,295.861,0.000,102.197,0.000,0.000,107.392,0.000,0.000,0.000,0.000,0.000,0.000,122.183,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.47,782.8,ON,52.468,74.477,56.384,44.508,2.092,2.141296e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
5,17/3/2020,14:55:13,22.5,101.7,43.8,6.68914e-008,1.83006e-005,,822.682,791.957,2005.327,1983.037,2357.364,3408.180,4972.737,3228.171,2417.241,4746.121,5130.909,4586.333,4521.358,5237.571,4824.113,3041.237,2646.105,5150.234,2778.705,3706.408,3513.253,3434.659,3758.824,3670.554,3072.381,3127.110,2689.815,3300.281,3123.356,3369.123,2119.128,2807.965,1827.000,2180.595,2824.632,1865.232,2263.234,1771.045,1612.865,1871.593,2444.714,2235.300,1778.151,2085.329,1725.967,1619.989,1443.992,949.053,1576.164,1853.585,2215.161,2128.668,1963.094,1795.778,1557.278,2583.715,1910.671,2036.667,2487.857,2102.603,1812.261,2092.852,2453.227,2524.896,1658.894,1730.676,1081.455,2461.337,1519.909,1453.468,1532.431,2344.774,882.940,964.738,745.228,1127.577,830.416,761.590,660.474,729.107,547.633,315.804,320.247,404.072,407.910,165.541,83.577,0.000,172.229,86.990,88.347,0.000,91.194,92.689,93.708,0.000,0.000,98.620,0.000,102.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.183,0.000,0.000,300,4,50,1,3.000,0.321,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.47,782.8,ON,37.330,63.394,44.945,21.674,2.223,3.025209e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
6,17/3/2020,15:01:13,22.5,101.7,43.8,6.68914e-008,1.83006e-005,,275.951,796.935,1534.182,246.112,2372.180,1143.189,2644.454,2336.579,2255.166,3154.188,4027.313,2399.883,4465.347,2071.773,4522.900,4023.645,3289.262,3658.309,4204.515,1926.575,3053.125,2822.435,2363.263,2037.861,1731.347,1936.482,3213.952,2254.844,2020.492,2077.915,2452.314,1465.133,2042.759,2892.487,2254.305,2490.868,2166.749,1204.607,2085.686,1874.229,1757.199,1903.285,1786.895,2352.643,1902.226,2119.222,1858.409,1510.412,1655.575,2104.561,2084.028,2213.576,2431.325,2258.830,2761.021,2674.238,1700.832,2350.771,2569.974,2407.655,3282.572,2106.006,2033.013,2758.564,2177.374,2539.766,2466.704,2476.784,1165.304,2340.187,1468.624,1253.491,1693.199,1503.371,1199.858,756.442,572.883,878.173,386.603,468.098,393.625,238.341,322.260,162.645,164.189,166.581,84.102,0.000,0.000,87.537,88.902,0.000,0.000,93.271,0.000,95.888,0.000,99.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.319,0.00,10.21,9627.08, 13.3,749.9,1.000,1.81,7.48,785.5,ON,47.599,69.801,51.354,22.468,2.194,2.714306e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
7,17/3/2020,15:07:13,22.4,101.7,43.8,6.68626e-008,1.82958e-005,,276.807,799.406,769.470,740.624,237.954,2752.161,1105.272,2556.899,1439.555,2580.443,2301.852,925.894,2508.348,2597.746,3022.439,2585.129,2670.992,2293.532,3690.578,3597.372,3758.635,3100.821,2502.289,3194.031,2232.919,2428.092,2124.871,2067.698,2702.341,2632.888,2352.964,2519.443,2458.911,2050.353,2802.702,1921.992,2267.974,2137.835,2456.004,1342.885,2379.586,2405.108,1477.381,2189.151,2074.046,1389.940,1619.524,1277.294,1423.463,1488.565,1699.958,1225.068,1263.439,2071.162,1721.629,1192.234,1335.211,1993.810,2131.900,1610.085,1634.473,2120.990,2370.436,1893.275,1747.308,1819.740,1309.949,1753.736,1388.087,1565.958,711.034,1035.485,1114.061,898.901,677.012,986.422,609.618,768.751,775.602,469.548,394.845,717.240,0.000,0.000,329.396,250.646,0.000,171.248,86.924,0.000,178.355,181.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.567,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.21,9625.74, 13.3,749.9,1.000,1.81,7.48,786.7,ON,45.087,67.989,50.348,27.881,2.134,2.352398e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
8,17/3/2020,15:13:13,22.4,101.7,43.8,6.68626e-008,1.82958e-005,,0.000,0.000,774.352,745.323,478.927,923.207,1112.285,857.707,2276.511,1398.285,1158.228,1490.829,1983.349,2614.228,1351.829,1625.956,2371.711,1230.978,2674.075,2042.513,2506.946,1763.746,2650.700,1928.577,1622.896,2443.498,2257.150,2543.220,2245.385,1786.702,1829.735,2324.142,1443.465,2013.699,2077.774,1547.349,2092.158,1403.086,1922.345,1891.976,1685.147,2344.183,1217.739,2033.564,1753.252,1810.159,2037.249,2169.108,1352.919,2601.804,2488.362,992.027,1466.859,1672.152,1506.567,2399.596,2165.256,2174.783,1829.467,2430.454,1620.000,2199.255,1966.007,1551.823,1392.053,2051.040,1464.733,1691.327,1470.415,1211.869,636.305,1326.052,1433.877,938.142,1253.234,992.681,766.857,541.540,546.374,315.018,238.410,400.995,406.636,82.092,165.743,168.158,84.898,172.334,87.476,441.825,89.743,182.332,0.000,94.154,0.000,0.000,0.000,0.000,101.963,103.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.21,9625.99, 13.3,749.9,1.000,1.81,7.48,789.4,ON,55.673,76.107,57.284,25.946,2.125,2.089448e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
9,17/3/2020,15:19:13,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,276.792,1065.820,512.953,1234.310,1189.707,1146.675,2873.560,2556.768,1909.859,2920.240,3260.789,2592.369,3045.694,3290.309,1679.046,2908.120,1571.091,1457.535,2430.790,2302.199,3340.836,2156.967,1712.004,3193.865,2108.759,1213.983,2833.014,1493.260,2477.029,2523.038,2459.789,1784.512,2048.986,1900.854,1928.393,2151.075,1795.378,2602.459,1364.375,2417.066,1762.554,2603.297,1794.779,1262.898,2156.894,1883.453,1940.312,1836.013,1265.233,1723.502,1931.680,1301.566,1905.241,1737.045,1646.689,2466.438,2440.205,2362.923,1617.217,1536.821,1829.205,1602.525,2397.896,1898.612,1456.003,1528.507,1091.565,1388.300,2264.663,1320.351,1473.096,1405.225,891.195,1498.095,1504.389,606.996,533.387,230.613,775.561,547.777,394.824,478.134,404.051,326.280,247.034,250.633,84.358,256.858,173.839,0.000,89.173,90.586,0.000,0.000,0.000,96.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112.703,0.000,0.000,119.009,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.22,9624.64, 13.3,749.9,1.000,1.81,7.48,786.6,ON,48.373,71.141,51.728,27.881,2.204,2.348010e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
