Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,17/3/2020,11:43:35,20.5,101.8,41.5,6.62510e-008,1.82049e-005,,586.269,2821.869,3259.434,1568.622,2519.896,2914.500,3676.607,2322.836,3048.936,2102.039,3859.574,2353.216,2466.564,1650.582,1244.721,1882.104,1996.611,1457.285,2032.291,2742.874,3095.804,2712.610,1255.203,1758.853,2233.245,2057.036,1512.804,960.838,1192.380,1974.936,1812.166,1556.347,759.476,2013.055,937.035,1017.666,1128.414,1449.277,674.289,663.633,279.987,1102.778,633.568,713.297,702.827,1038.983,343.002,422.688,502.462,829.640,694.576,933.367,403.533,542.516,730.585,1499.237,1021.164,1329.362,1167.707,1558.381,1773.764,1851.353,1928.139,2200.484,1963.096,1926.994,2157.797,2089.234,2243.538,2489.735,2585.722,1863.957,2752.657,2347.314,2661.189,1767.711,1452.477,1383.897,1724.756,1243.053,2006.953,1181.461,770.197,1122.967,523.215,619.311,733.030,434.731,184.095,278.950,188.867,95.931,0.000,0.000,200.330,203.711,0.000,0.000,0.000,0.000,221.145,112.643,0.000,0.000,119.354,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.25,9596.96, 13.3,749.9,1.000,1.83,7.52,810.5,ON,45.609,89.745,56.582,19.456,2.681,2.236333e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
2,17/3/2020,11:49:34,20.9,101.8,42.1,6.63659e-008,1.82241e-005,,2052.369,1693.473,2445.082,1830.439,1512.252,1457.553,2575.564,3159.662,2613.917,2312.723,3657.199,3786.011,2409.692,3485.287,4090.650,2224.768,3661.217,2753.224,3283.617,3048.274,2654.100,4426.782,2371.434,3518.442,2496.502,2829.016,1125.330,2190.101,2229.203,2127.396,1585.978,1667.864,1736.311,1377.643,2082.738,1526.821,2001.842,1476.767,1156.168,1043.071,840.139,919.176,1086.347,1337.715,1054.464,866.003,1372.300,761.000,837.615,663.854,654.750,1135.372,807.239,1119.962,951.397,710.317,1335.655,799.749,1539.752,775.159,1705.040,1465.970,1388.551,1002.657,1850.694,925.157,1233.293,1160.937,1238.076,932.363,936.201,470.035,629.315,555.382,478.044,562.575,484.264,407.117,492.894,497.329,83.641,253.225,85.596,172.802,261.664,88.492,89.355,0.000,0.000,93.003,0.000,95.952,97.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,135.552,300,4,50,1,3.000,0.300,0.00,10.24,9604.36, 13.3,749.9,1.000,1.83,7.52,810.9,ON,31.876,56.302,40.022,28.903,2.168,2.111205e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
3,17/3/2020,11:55:34,21.1,101.8,42.6,6.64233e-008,1.82337e-005,,879.678,846.824,1086.816,1307.592,3024.817,1214.753,702.499,1805.709,3267.735,2102.694,3047.982,2157.788,3226.513,3298.115,2494.174,1369.231,3328.725,3563.366,2189.306,3075.087,3071.140,2562.650,2519.002,2407.636,2392.989,3086.522,2876.144,3528.865,2504.785,2324.185,2306.067,2740.660,2387.677,2119.674,1666.381,1628.780,1801.848,2560.000,1445.362,1517.355,1493.739,919.273,1720.232,1962.203,1230.338,1212.532,943.556,1353.032,1172.786,995.886,1064.082,892.173,888.058,720.052,1268.665,998.257,1049.232,1173.344,1168.083,775.242,1472.693,1003.140,694.350,925.622,848.321,1156.582,873.790,684.480,527.961,777.054,546.176,861.825,393.365,1110.885,478.096,723.389,484.317,651.457,328.632,414.486,418.251,84.418,171.210,86.410,174.462,177.003,178.728,181.400,276.232,0.000,0.000,95.962,0.000,0.000,0.000,0.000,103.638,0.000,107.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.24,9608.06, 13.3,749.9,1.000,1.83,7.52,811.1,ON,36.264,57.825,42.389,25.029,2.093,2.053899e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
4,17/3/2020,12:01:34,21.3,101.8,42.9,6.64808e-008,1.82432e-005,,586.512,2382.994,2869.155,3138.545,3025.130,2915.709,3278.670,2934.580,2396.587,2523.494,2845.078,3531.292,3416.662,3119.063,1601.022,2726.437,2841.680,1619.880,2971.510,3201.354,3097.095,2570.913,2371.928,2707.058,2234.178,2315.133,2876.444,2920.763,2027.913,2556.870,2153.877,2002.666,2603.237,1907.906,1350.381,1836.169,800.905,1674.037,1156.411,1327.825,1120.422,1287.118,1086.577,1070.398,1669.922,1472.516,1544.165,761.161,670.234,912.993,1391.640,1054.498,807.411,960.172,872.300,1499.879,1728.864,2380.497,1056.920,1395.586,852.703,926.075,1157.375,694.291,1619.707,771.130,1464.852,541.887,928.757,854.851,936.404,712.436,543.509,634.860,796.913,482.312,80.728,407.205,328.667,248.718,250.978,253.280,599.301,432.097,0.000,265.534,0.000,90.710,0.000,93.023,188.949,95.972,195.038,0.000,100.208,0.000,0.000,0.000,0.000,0.000,110.619,0.000,0.000,117.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.24,9611.75, 13.3,749.9,1.000,1.83,7.52,811.2,ON,34.094,57.305,40.377,20.169,2.193,2.170883e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
5,17/3/2020,12:07:34,21.4,101.8,43.2,6.65095e-008,1.82480e-005,,1173.086,1411.592,4347.938,3641.347,4305.560,5345.743,5152.462,8689.930,4032.176,4416.343,7113.064,8223.654,6280.126,7233.126,8286.417,8015.996,6853.658,5345.882,6099.755,3963.787,5309.582,4285.078,3627.843,3383.999,4337.199,3472.880,2126.197,3164.324,3101.649,2673.231,2152.961,1890.741,4233.382,1484.005,2604.105,2036.296,1301.539,2297.416,1510.212,1991.843,933.734,827.476,996.081,1159.659,1406.324,1751.682,924.672,1860.715,1424.323,1079.049,1719.176,1216.793,968.945,1040.242,1189.563,789.452,1100.245,1173.532,1012.501,986.584,1280.168,1448.029,966.499,653.787,1002.723,925.406,1387.829,1316.083,1006.208,466.308,624.303,1018.685,786.857,1190.426,1115.738,643.117,888.058,244.336,657.370,248.732,334.655,253.294,513.715,345.696,87.245,88.516,268.136,0.000,0.000,372.114,0.000,287.932,0.000,198.247,100.213,0.000,0.000,105.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.24,9613.59, 13.3,749.9,1.000,1.83,7.52,811.3,ON,26.372,47.663,34.046,17.466,2.073,3.301606e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
6,17/3/2020,12:13:34,21.5,101.8,43.3,6.65383e-008,1.82528e-005,,879.860,846.999,1087.041,1307.862,756.361,1458.005,1639.505,1128.802,1525.259,2313.443,2235.650,2158.235,2467.845,2568.906,2134.917,2567.840,2330.592,2592.078,2580.039,2363.881,2949.921,3856.792,2651.254,2737.072,2764.682,2668.586,2818.820,2490.574,2147.408,2324.670,3248.201,2150.658,3039.499,1908.122,2561.759,2383.387,2302.844,2166.609,2746.568,2703.551,2792.759,1755.446,3029.966,3438.216,3252.296,3551.738,2745.485,3467.879,3938.044,3596.496,3723.039,3666.629,3391.500,2880.823,3410.276,4263.268,3300.936,2503.669,3271.334,3411.797,2336.623,2459.038,2623.665,2777.464,2699.783,2390.773,1696.327,1548.417,1857.715,1709.887,1653.587,1552.528,1652.500,1984.163,637.599,964.728,1372.527,895.947,575.230,912.066,836.683,759.922,1113.108,345.715,610.748,177.042,268.150,272.159,0.000,186.067,283.453,191.965,0.000,198.257,0.000,101.910,0.000,210.945,107.351,109.298,0.000,0.000,114.854,0.000,0.000,0.000,0.000,0.000,127.887,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9615.44, 13.3,749.9,1.000,1.83,7.52,811.4,ON,62.983,79.448,59.682,98.217,2.141,3.051121e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
7,17/3/2020,12:19:34,21.6,101.8,43.5,6.65670e-008,1.82576e-005,,879.905,564.695,543.548,2354.274,1764.933,3159.175,3279.179,4289.668,4358.140,4703.905,2568.070,4709.121,3986.726,2752.542,2312.946,2739.172,3163.110,2752.495,3442.902,1219.753,1327.534,1142.806,2372.298,2572.107,2234.527,2058.218,2001.318,1217.168,1431.680,2441.031,1246.582,1557.244,2388.302,1590.172,2187.677,1934.684,1101.418,2265.210,2245.828,1299.479,1120.599,735.612,1223.416,1382.005,1142.759,1039.588,1544.410,1099.630,1292.445,960.926,1309.987,1379.179,1130.556,1040.353,1189.690,868.490,1964.933,1408.389,856.824,775.450,1162.964,1157.780,1092.452,1264.460,1115.095,1002.631,1233.758,929.100,696.681,1243.633,893.121,513.827,708.247,238.111,478.225,562.788,565.189,488.725,246.540,248.759,418.364,0.000,342.513,86.433,261.763,177.051,89.388,0.000,92.102,0.000,283.469,95.988,0.000,99.134,0.000,0.000,103.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,121.022,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9617.28, 13.3,749.9,1.000,1.83,7.52,811.5,ON,33.735,57.256,40.615,20.169,2.183,2.088090e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
8,17/3/2020,12:25:34,21.7,101.8,43.6,6.65957e-008,1.82624e-005,,293.317,0.000,271.788,1569.597,756.439,972.104,2377.785,1772.154,1525.417,1682.678,2845.667,1766.012,2657.955,4037.271,3914.420,1712.071,2330.834,2754.368,3128.554,3506.973,3982.807,2857.164,3488.855,3249.146,4469.287,3602.068,5128.643,3651.693,5294.373,4374.523,6005.988,5116.925,4230.553,4774.175,4108.881,4130.257,2603.488,3644.224,3779.224,3964.547,3548.764,2574.777,3898.931,4099.597,3780.094,4158.572,2059.322,2876.106,3220.399,3284.903,2620.126,4496.491,3438.584,3466.185,2830.803,3000.409,2908.257,3442.912,3598.491,3552.110,3411.555,2392.885,3393.512,2779.944,2082.925,2819.192,2502.258,2245.446,1935.328,1180.333,1078.272,1253.969,1337.873,1111.244,900.063,941.360,888.202,1058.961,904.030,663.392,836.773,253.335,256.899,345.752,261.777,796.773,178.786,362.917,276.321,279.130,94.495,191.985,97.540,99.139,100.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114.866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9619.13, 13.3,749.9,1.000,1.83,7.52,811.6,ON,52.196,71.563,55.534,39.954,2.016,3.572118e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
9,17/3/2020,12:31:34,21.8,101.8,43.8,6.66245e-008,1.82672e-005,,0.000,0.000,543.605,0.000,1008.637,729.116,1405.508,1354.772,1961.351,1893.110,1829.452,3139.739,2658.092,2018.740,1779.374,1883.376,1664.967,810.150,1251.487,1219.880,2360.305,1857.253,2372.545,1353.881,1971.847,1929.780,2627.022,2069.401,1909.105,1860.027,1813.399,1891.136,1279.884,1506.739,1562.790,1527.542,1101.533,984.977,1638.679,1138.435,1120.717,1011.573,905.719,1327.627,977.619,1212.981,943.906,652.381,945.973,1328.342,982.595,811.368,1049.914,1440.642,1427.780,1500.286,786.057,939.026,1316.629,1093.406,1783.414,1466.690,1389.222,848.806,1388.684,1002.739,474.345,1149.817,1083.842,2176.571,1639.148,1175.660,472.216,635.031,797.128,964.884,242.250,570.241,575.323,580.499,251.045,506.696,171.275,432.214,174.527,265.605,268.193,181.468,92.112,93.048,94.500,0.000,97.545,0.000,0.000,0.000,103.677,0.000,0.000,0.000,0.000,112.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9620.97, 13.3,749.9,1.000,1.83,7.52,811.7,ON,44.811,72.942,52.327,20.169,2.224,1.670989e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
