Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\180320.1.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,18/3/2020,14:43:00,23.1,101.4,44.8,6.72625e-008,1.83293e-005,,18.000,9.000,22.000,18.000,19.000,25.000,24.000,32.000,23.784,34.216,43.000,36.000,44.000,50.244,40.016,42.842,33.899,37.000,39.516,45.485,39.000,40.000,28.521,26.479,38.000,28.640,37.361,32.875,34.125,21.284,24.716,24.000,17.000,39.000,29.000,23.000,22.000,18.000,26.000,26.797,22.203,32.000,31.751,30.023,20.226,21.000,28.000,26.000,27.000,32.000,22.000,31.000,25.000,31.000,31.639,34.361,26.000,30.000,15.000,30.000,31.000,21.000,20.000,21.000,29.000,24.000,19.000,19.000,21.000,21.000,22.000,19.000,23.000,22.000,15.000,21.000,14.000,13.000,9.000,9.000,17.000,3.000,4.000,2.000,3.000,1.786,4.214,1.000,0.000,1.000,1.000,2.000,2.000,1.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9634.63, 13.3,749.9,1.000,1.82,7.48,788.4,ON,29.375,54.917,38.121,21.674,2.207,4.095730e+003,,MASIN,,,,,Normal Scan,
2,18/3/2020,14:48:59,23.1,101.4,44.8,6.72625e-008,1.83293e-005,,2.000,4.000,5.000,5.000,6.000,12.000,12.000,9.000,12.000,17.000,14.000,10.000,21.000,19.000,10.259,15.741,12.000,8.000,16.000,9.000,18.000,15.000,15.521,13.479,16.000,16.320,13.680,13.000,22.000,15.000,34.000,23.000,28.000,14.000,20.000,21.000,18.000,31.000,23.000,27.000,29.000,28.000,22.000,30.000,28.000,35.278,33.722,22.612,24.388,24.000,31.000,38.000,26.000,23.000,17.000,28.000,20.434,26.566,34.000,26.026,33.975,21.000,34.000,19.000,24.000,24.371,24.629,12.000,16.000,24.000,22.000,26.000,17.000,13.000,15.000,13.000,13.000,16.910,11.090,12.248,8.752,5.000,6.675,7.325,2.000,2.000,1.000,2.000,1.000,2.000,2.000,0.000,2.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9634.38, 13.3,749.9,1.000,1.82,7.48,788.4,ON,52.711,73.849,53.569,20.908,2.231,2.513969e+003,,MASIN,,,,,Normal Scan,
3,18/3/2020,14:54:59,23.2,101.4,44.8,6.72914e-008,1.83340e-005,,1.000,6.000,10.000,8.000,7.000,17.000,18.000,17.000,17.000,24.509,28.491,28.000,29.000,28.000,21.166,21.835,27.000,27.000,23.399,17.601,14.330,25.670,16.000,22.000,17.000,18.000,14.580,14.420,22.565,20.435,20.000,14.000,26.000,22.000,22.000,17.000,26.000,21.000,23.000,20.000,12.000,30.000,28.000,25.000,22.000,31.000,30.000,32.000,33.000,31.000,26.000,29.999,29.001,29.000,28.435,29.565,34.000,21.000,33.000,36.000,32.000,32.000,19.296,25.494,35.638,22.769,23.885,30.918,31.000,23.000,22.000,15.000,19.000,22.000,11.119,20.881,9.000,16.000,7.445,9.555,6.000,8.000,3.000,3.000,2.000,3.000,7.000,3.000,5.000,2.000,1.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9636.21, 13.3,749.9,1.000,1.82,7.48,788.5,ON,42.432,67.578,47.325,19.456,2.290,3.041731e+003,,MASIN,,,,,Normal Scan,
4,18/3/2020,15:00:59,23.2,101.4,44.8,6.72914e-008,1.83340e-005,,2.000,4.000,5.000,8.000,7.000,4.000,5.000,10.000,8.000,3.000,4.000,8.000,7.881,2.119,14.000,10.000,9.000,12.000,8.000,14.000,14.000,14.000,10.000,10.000,14.000,14.000,9.000,11.000,17.486,15.514,17.000,12.000,19.800,22.200,13.000,10.000,19.000,18.000,13.641,10.359,17.981,12.989,16.030,16.000,17.000,17.000,28.000,25.000,17.000,12.000,17.000,16.000,17.000,26.000,18.000,19.147,18.853,16.484,15.517,24.000,17.000,19.919,14.081,21.750,18.250,16.000,22.000,13.000,21.000,13.000,7.000,9.000,1.000,12.621,6.379,10.000,5.000,10.000,7.000,3.000,10.000,4.000,1.000,2.519,5.481,2.000,2.000,0.000,2.000,0.461,0.539,0.000,0.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.17,9636.21, 13.3,749.9,1.000,1.82,7.48,787.2,ON,50.216,73.266,52.886,22.468,2.229,1.699020e+003,,MASIN,,,,,Normal Scan,
5,18/3/2020,15:06:59,23.2,101.4,44.7,6.72914e-008,1.83340e-005,,0.000,2.000,1.000,1.000,1.000,7.000,3.000,2.000,4.000,8.000,3.000,6.000,4.000,4.000,11.000,7.000,7.000,5.000,7.000,6.000,7.000,11.000,6.000,15.000,7.000,9.000,6.000,8.000,10.287,10.907,9.806,12.000,9.000,12.000,10.079,11.921,11.000,15.000,20.000,12.000,15.000,13.000,12.610,13.021,13.370,15.000,12.000,17.000,13.000,10.000,16.000,19.000,21.000,11.000,18.000,18.000,13.000,15.000,11.000,15.000,7.000,19.000,10.000,18.000,11.000,9.235,9.765,13.000,8.000,9.000,9.000,6.000,12.000,15.000,11.000,8.000,10.000,8.000,10.000,3.000,7.000,4.000,3.000,0.000,4.000,2.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.17,9635.96, 13.3,749.9,1.000,1.82,7.48,789.9,ON,57.022,78.517,58.367,31.059,2.172,1.249978e+003,,MASIN,,,,,Normal Scan,
6,18/3/2020,15:12:59,23.3,101.4,44.5,6.73202e-008,1.83388e-005,,0.000,1.000,3.000,2.000,2.000,1.000,7.000,7.000,7.000,2.000,7.000,9.664,12.337,4.000,3.000,7.000,9.000,10.000,10.000,8.000,9.292,4.708,14.334,10.666,8.000,11.000,10.000,15.000,16.000,17.000,11.000,14.184,13.816,12.000,12.000,13.000,10.000,14.000,15.000,13.000,15.000,20.000,6.406,10.594,18.000,18.000,15.000,13.000,22.000,16.000,10.000,15.000,23.000,23.000,17.000,21.000,17.000,15.000,18.918,17.083,15.653,13.347,18.000,22.000,12.000,16.000,24.000,8.000,14.000,15.000,19.000,17.000,12.000,9.546,8.454,8.535,8.465,5.000,7.361,5.639,6.000,4.000,3.000,1.000,3.000,5.000,1.000,1.000,1.000,0.000,1.000,2.000,0.000,2.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.17,9638.28, 13.3,749.9,1.000,1.82,7.48,789.9,ON,57.065,79.765,58.449,20.908,2.208,1.493139e+003,,MASIN,,,,,Normal Scan,
7,18/3/2020,15:18:59,23.3,101.4,44.4,6.73202e-008,1.83388e-005,,0.000,1.000,3.000,0.000,2.000,1.000,2.000,4.000,2.000,9.000,4.000,10.000,9.000,8.000,7.000,9.000,12.000,13.000,9.000,12.000,14.000,11.000,11.163,18.837,12.000,14.000,11.000,11.000,9.000,18.000,17.000,13.000,10.000,18.000,21.000,22.000,17.000,17.000,16.000,13.000,17.000,20.000,19.000,22.000,17.000,17.000,16.503,18.497,20.000,22.000,21.000,20.000,26.560,15.440,20.181,17.819,19.000,27.000,21.000,23.000,18.000,17.000,24.000,19.000,20.000,10.970,12.030,13.000,14.000,14.000,7.000,16.000,13.000,13.000,12.000,4.000,5.043,9.957,5.000,5.000,7.000,2.000,2.000,2.000,1.000,2.000,2.000,4.000,0.000,3.000,2.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.17,9638.28, 13.3,749.9,1.000,1.82,7.48,787.2,ON,56.378,76.311,57.856,31.059,2.098,1.643434e+003,,MASIN,,,,,Normal Scan,
8,18/3/2020,15:24:59,23.3,101.4,44.3,6.73202e-008,1.83388e-005,,2.000,1.000,3.000,8.000,5.000,7.000,9.000,14.000,12.000,11.000,11.000,16.000,17.000,22.000,19.000,22.000,17.553,13.478,24.970,22.349,15.651,11.000,19.000,9.000,16.000,14.000,13.000,17.000,13.000,10.000,19.000,18.000,20.000,20.938,21.062,18.000,26.000,16.000,24.000,24.000,24.000,34.000,17.000,13.000,28.000,20.000,29.000,25.000,18.000,27.000,27.000,23.000,20.000,25.000,18.000,25.993,29.008,18.000,32.000,18.000,23.000,21.000,21.000,21.000,21.000,20.000,15.000,18.907,22.093,21.000,17.000,14.722,12.278,16.000,9.000,9.000,15.000,6.000,5.000,11.000,6.000,7.000,4.499,0.501,0.000,1.000,5.000,3.000,1.000,2.000,0.000,2.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9637.79, 13.3,749.9,1.000,1.82,7.48,788.6,ON,47.130,69.424,49.997,21.674,2.214,2.312558e+003,,MASIN,,,,,Normal Scan,
9,18/3/2020,15:30:59,23.3,101.4,44.3,6.73202e-008,1.83388e-005,,1.000,6.000,3.000,6.000,2.000,5.000,5.000,8.000,16.000,16.000,11.000,12.000,13.000,23.000,22.000,24.000,19.000,22.483,19.518,19.000,25.000,24.000,21.000,22.000,18.000,22.000,19.000,25.000,31.000,17.000,26.000,25.000,25.000,16.000,20.000,16.000,18.000,16.000,17.000,12.000,17.000,10.000,12.000,14.000,20.000,10.000,23.000,9.000,19.000,13.000,14.000,21.000,14.000,16.612,22.470,17.918,23.000,19.000,17.000,25.000,17.000,18.000,15.000,21.000,18.000,27.000,14.000,13.000,15.000,16.000,17.000,14.000,10.000,14.000,21.000,9.000,12.000,8.000,9.000,5.000,4.000,5.089,4.911,2.000,2.000,3.000,3.000,3.000,2.000,4.000,1.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.320,0.00,10.17,9638.03, 13.3,749.9,1.000,1.82,7.48,784.5,ON,38.230,65.988,46.802,21.674,2.206,2.224601e+003,,MASIN,,,,,Normal Scan,
