Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\180320.1.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,18/3/2020,14:43:00,23.1,101.4,44.8,6.72625e-008,1.83293e-005,,5001.833,2407.515,5664.679,4460.971,4538.646,5755.921,5325.922,6844.836,4910.147,6818.120,8280.338,6692.336,7914.008,8735.203,6745.251,6948.869,5346.740,5679.329,5856.077,6570.457,5450.249,5413.674,3770.843,3396.098,4732.290,3490.519,4427.473,3791.117,3857.349,2344.015,2653.711,2529.241,1748.496,3917.143,2862.277,2218.882,2087.049,1679.593,2374.247,2408.354,1964.425,2787.799,2724.319,2537.701,1684.536,1723.669,2276.182,2083.684,2143.510,2516.829,1706.581,2382.827,1912.775,2350.501,2377.536,2570.382,1936.161,2224.008,1107.017,2204.135,2277.203,1535.751,1462.339,1535.162,2119.570,1753.773,1388.132,1393.809,1540.196,1546.511,1626.840,1410.800,1714.899,1654.441,1132.763,1599.687,1071.002,1003.283,700.771,707.076,1347.735,240.014,324.521,163.786,248.013,149.821,356.874,85.958,0.000,88.151,89.525,181.889,184.821,93.925,0.000,193.121,0.000,0.000,0.000,103.560,0.000,0.000,0.000,110.943,0.000,0.000,0.000,0.000,0.000,0.000,125.632,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9634.63, 13.3,749.9,1.000,1.82,7.48,788.4,ON,29.375,54.917,38.121,21.674,2.207,4.095730e+003,,MASIN,,,,,Normal Scan,
2,18/3/2020,14:48:59,23.1,101.4,44.8,6.72625e-008,1.83293e-005,,555.759,1070.006,1287.421,1239.159,1433.257,2762.854,2662.961,1925.110,2477.378,3387.511,2695.928,1858.969,3777.133,3303.259,1729.383,2553.072,1892.721,1227.963,2371.134,1300.079,2515.480,2030.123,2052.091,1728.755,1992.534,1989.022,1621.178,1499.136,2486.766,1651.947,3650.535,2423.846,2879.906,1406.145,1973.984,2025.936,1707.586,2892.641,2100.296,2426.620,2565.805,2439.333,1887.659,2535.775,2331.989,2895.612,2741.331,1812.203,1936.115,1887.619,2404.751,2920.910,1989.286,1743.924,1277.470,2094.545,1521.675,1969.427,2509.239,1912.118,2495.728,1535.736,2485.982,1388.949,1754.135,1780.895,1799.382,880.294,1173.482,1767.441,1626.825,1930.574,1267.529,977.615,1132.763,990.278,994.509,1305.027,863.517,962.259,693.838,400.024,541.553,599.860,165.342,167.750,84.693,171.917,87.264,176.301,179.051,0.000,184.821,0.000,94.958,193.121,98.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9634.38, 13.3,749.9,1.000,1.82,7.48,788.4,ON,52.711,73.849,53.569,20.908,2.231,2.513969e+003,,MASIN,,,,,Normal Scan,
3,18/3/2020,14:54:59,23.2,101.4,44.8,6.72914e-008,1.83340e-005,,277.894,1605.119,2574.974,1982.755,1672.218,3914.211,3994.613,3636.505,3509.820,4884.061,5486.719,5205.381,5216.301,4868.245,3567.963,3541.687,4258.864,4144.588,3467.862,2542.606,2002.714,3474.365,2115.479,2821.803,2117.176,2193.893,1727.940,1662.952,2550.733,2250.633,2147.478,1475.461,2674.334,2209.771,2171.495,1640.148,2466.641,1959.627,2100.396,1797.579,1061.757,2613.724,2402.618,2113.250,1832.368,2544.597,2438.905,2564.693,2619.999,2438.287,2016.974,2305.971,2219.038,2198.965,2136.875,2211.745,2532.036,1556.888,2435.568,2645.108,2350.771,2340.301,1410.965,1863.774,2604.892,1663.874,1745.144,2268.175,2273.758,1693.903,1626.923,1113.843,1416.725,1654.514,839.716,1590.735,688.538,1234.887,579.695,750.756,475.691,640.072,243.404,245.692,165.351,251.639,592.879,257.889,436.341,176.311,89.530,0.000,277.246,93.930,0.000,0.000,0.000,0.000,101.721,0.000,0.000,0.000,108.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9636.21, 13.3,749.9,1.000,1.82,7.48,788.5,ON,42.432,67.578,47.325,19.456,2.290,3.041731e+003,,MASIN,,,,,Normal Scan,
4,18/3/2020,15:00:59,23.2,101.4,44.8,6.72914e-008,1.83340e-005,,554.036,1066.688,1283.428,1976.505,1666.947,918.088,1106.117,2132.378,1646.464,595.942,767.871,1482.563,1413.184,367.176,2352.586,1616.943,1415.138,1836.232,1181.891,2016.074,1950.438,1888.894,1318.006,1278.594,1738.063,1700.972,1063.253,1264.566,1970.414,1703.229,1819.624,1260.705,2030.179,2222.830,1279.111,961.740,1796.882,1674.385,1241.759,928.148,1585.946,1128.100,1371.132,1348.211,1411.459,1391.025,2269.129,1997.344,1345.434,940.878,1314.649,1226.037,1296.650,1965.279,1348.423,1427.840,1399.604,1218.186,1141.581,1757.837,1244.932,1452.177,1026.355,1585.054,1329.728,1165.559,1602.328,950.696,1535.430,954.404,516.022,666.199,74.329,946.158,480.255,759.391,381.315,769.364,543.355,234.961,790.319,319.027,80.879,205.626,451.747,167.231,168.860,0.000,173.986,40.494,48.123,0.000,0.000,93.634,94.664,0.000,0.000,298.879,0.000,0.000,104.498,0.000,108.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.17,9636.21, 13.3,749.9,1.000,1.82,7.48,787.2,ON,50.216,73.266,52.886,22.468,2.229,1.699020e+003,,MASIN,,,,,Normal Scan,
5,18/3/2020,15:06:59,23.2,101.4,44.7,6.72914e-008,1.83340e-005,,0.000,536.728,258.314,248.631,239.646,1616.847,667.881,429.181,828.455,1599.262,579.557,1118.977,721.770,697.661,1860.205,1139.041,1107.646,769.967,1040.716,869.514,981.396,1493.547,795.821,1930.060,874.539,1100.420,713.333,925.531,1166.511,1205.105,1056.221,1268.693,928.669,1209.168,998.037,1153.726,1046.889,1404.183,1832.235,1081.963,1331.406,1136.204,1085.457,1104.120,1117.068,1235.162,978.652,1366.803,1035.389,789.039,1245.160,1465.148,1611.930,836.733,1356.978,1350.836,971.203,1115.580,814.425,1105.619,515.870,1393.958,733.524,1320.098,806.573,677.051,715.688,956.735,588.634,664.929,667.666,446.951,897.620,1131.657,833.373,611.368,767.477,619.396,781.146,236.452,556.734,321.051,244.176,0.000,331.750,168.292,0.000,86.236,0.000,0.000,0.000,182.476,0.000,94.228,0.000,0.000,98.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.17,9635.96, 13.3,749.9,1.000,1.82,7.48,789.9,ON,57.022,78.517,58.367,31.059,2.172,1.249978e+003,,MASIN,,,,,Normal Scan,
6,18/3/2020,15:12:59,23.3,101.4,44.5,6.73202e-008,1.83388e-005,,0.000,268.378,774.982,497.287,479.317,230.990,1558.468,1502.212,1449.870,399.836,1352.369,1802.306,2226.153,697.697,507.350,1139.100,1424.190,1539.981,1486.813,1159.426,1302.732,639.337,1901.296,1372.490,999.524,1345.039,1188.950,1735.439,1814.482,1878.339,1184.921,1499.634,1425.705,1209.216,1188.271,1258.260,951.767,1310.630,1374.241,1172.188,1331.475,1748.093,551.493,898.356,1504.046,1482.273,1223.369,1045.257,1752.288,1262.529,778.261,1156.756,1765.514,1749.625,1281.658,1576.066,1270.101,1115.646,1400.724,1259.184,1153.634,979.239,1320.414,1613.530,879.936,1173.016,1759.185,588.787,1030.164,1108.281,1409.593,1266.428,897.660,720.198,640.546,652.317,649.667,387.143,575.023,444.484,477.234,321.069,244.189,82.162,248.826,420.751,84.970,86.240,87.550,0.000,89.819,182.486,0.000,188.467,0.000,96.877,197.082,0.000,102.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.17,9638.28, 13.3,749.9,1.000,1.82,7.48,789.9,ON,57.065,79.765,58.449,20.908,2.208,1.493139e+003,,MASIN,,,,,Normal Scan,
7,18/3/2020,15:18:59,23.3,101.4,44.4,6.73202e-008,1.83388e-005,,0.000,266.686,770.096,0.000,476.295,229.534,442.469,852.995,411.637,1787.918,767.910,1853.299,1613.826,1386.596,1176.353,1455.324,1886.948,1989.354,1329.695,1728.152,1950.518,1484.207,1471.325,2408.652,1489.834,1701.060,1299.599,1264.632,1014.211,1976.279,1819.707,1365.823,1025.391,1802.398,2066.374,2115.948,1607.803,1581.446,1456.615,1164.798,1499.509,1737.063,1625.290,1853.896,1411.533,1391.098,1337.490,1477.846,1582.946,1725.041,1624.060,1532.618,2025.920,1167.138,1511.895,1328.902,1410.590,1995.508,1545.098,1684.683,1318.217,1239.428,1749.459,1384.718,1457.314,799.154,876.257,950.747,1023.669,1027.874,516.057,1184.425,966.334,974.638,903.450,303.773,384.579,766.133,388.131,391.623,553.261,159.522,161.767,163.287,82.419,167.239,168.869,342.786,0.000,263.646,178.505,0.000,276.387,0.000,0.000,96.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.17,9638.28, 13.3,749.9,1.000,1.82,7.48,787.2,ON,56.378,76.311,57.856,31.059,2.098,1.643434e+003,,MASIN,,,,,Normal Scan,
8,18/3/2020,15:24:59,23.3,101.4,44.3,6.73202e-008,1.83388e-005,,555.816,267.529,772.532,1982.857,1194.503,1611.816,1997.409,2994.923,2477.632,2192.144,2118.450,2974.675,3057.978,3825.216,3203.056,3568.723,2768.788,2069.043,3700.764,3228.686,2187.480,1488.914,2512.287,1154.433,1992.727,1706.439,1540.759,1960.611,1469.604,1101.405,2040.220,1897.119,2057.277,2103.208,2079.018,1736.707,2466.778,1493.127,2191.832,2157.205,2123.637,2962.367,1458.807,1098.952,2332.233,1641.770,2357.708,2003.769,1429.169,2123.789,2094.668,1768.084,1530.375,1895.768,1352.766,1944.597,2160.355,1334.540,2361.899,1322.617,1689.706,1535.899,1535.611,1535.318,1535.026,1461.633,1096.005,1387.142,1620.521,1546.684,1257.226,1093.255,915.578,1203.355,679.731,685.650,1147.632,463.103,389.359,864.304,475.717,560.093,365.016,41.062,0.000,83.884,423.508,257.903,87.273,176.320,0.000,181.909,92.420,187.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,110.955,0.000,0.000,0.000,119.491,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.17,9637.79, 13.3,749.9,1.000,1.82,7.48,788.6,ON,47.130,69.424,49.997,21.674,2.214,2.312558e+003,,MASIN,,,,,Normal Scan,
9,18/3/2020,15:30:59,23.3,101.4,44.3,6.73202e-008,1.83388e-005,,275.296,1590.089,765.272,1473.167,473.311,1140.478,1099.243,1695.301,3272.484,3158.607,2098.522,2210.025,2316.477,3961.505,3673.964,3856.564,2968.980,3418.880,2865.569,2719.126,3461.245,3217.994,2750.613,2795.453,2220.762,2656.347,2230.709,2856.167,3471.535,1854.791,2765.650,2610.152,2547.426,1592.085,1955.636,1529.223,1691.714,1479.094,1537.970,1068.470,1490.106,863.098,1020.062,1172.363,1650.221,813.166,1852.327,714.572,1494.385,1012.959,1075.921,1599.178,1061.195,1247.862,1672.795,1327.928,1696.841,1395.435,1242.951,1819.719,1237.176,1304.113,1086.557,1520.889,1303.373,1954.668,1013.324,944.790,1089.932,1167.345,1245.422,1029.872,738.684,1043.041,1571.147,679.207,909.471,611.668,694.259,389.170,314.164,403.337,394.754,162.264,163.805,249.288,251.717,255.479,172.905,349.326,88.694,90.100,0.000,93.053,0.000,95.663,0.000,99.007,0.000,0.000,0.000,0.000,107.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.320,0.00,10.17,9638.03, 13.3,749.9,1.000,1.82,7.48,784.5,ON,38.230,65.988,46.802,21.674,2.206,2.224601e+003,,MASIN,,,,,Normal Scan,
