Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\240420.7.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,28/4/2020,15:04:42,20.1,99.7,40.9,6.75291e-008,1.81857e-005,,853.849,1643.748,791.064,2410.304,1596.339,2124.985,1820.692,1317.941,1060.072,1843.968,2373.489,1530.963,1664.804,1972.845,2243.474,2349.457,2286.428,3153.555,2612.826,2230.356,3744.003,3657.415,3684.513,3577.517,3344.542,5574.176,3558.204,3247.217,3163.743,3312.911,4597.235,3501.908,2885.371,4095.570,4660.623,5005.974,3772.714,3983.599,4303.125,2635.823,4356.588,2738.795,3867.195,3278.745,3886.695,2464.651,1961.213,3209.843,2175.767,2145.934,3107.801,1628.139,2178.207,2224.524,2163.125,1109.267,1419.788,1099.331,2032.495,1875.812,1634.021,1474.042,1637.484,1166.490,1399.511,1166.033,1326.897,1482.696,1253.707,1337.548,1185.068,1031.323,1028.121,574.571,1134.708,813.963,739.035,579.928,919.514,674.812,1106.628,1035.874,435.672,273.446,436.517,540.677,457.299,278.545,468.961,285.765,193.530,0.000,0.000,0.000,0.000,104.504,106.331,108.225,0.000,111.531,0.000,0.000,118.043,0.000,0.000,0.000,0.000,128.925,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9973.91, 13.3,777.4,1.000,1.83,7.52,808.7,ON,49.219,70.868,52.962,34.599,2.072,2.997831e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
2,28/4/2020,15:10:11,19.8,99.6,41.5,6.75088e-008,1.81713e-005,,0.000,0.000,0.000,254.150,0.000,236.101,682.735,878.596,848.027,614.634,1384.486,1530.908,1479.773,896.716,2070.825,2684.997,2778.525,2205.239,2612.732,2378.960,2735.904,3375.954,3411.463,3047.405,2463.717,4412.978,3312.716,3487.625,2929.286,4912.070,2711.535,5670.298,4915.656,3360.346,3442.181,4659.941,3253.712,3451.183,4070.206,4841.689,3552.881,3164.960,3237.507,3810.282,3056.502,3459.632,3495.955,2618.460,2343.056,2723.586,1553.839,2116.503,1159.240,2286.197,2151.719,1822.300,1577.484,1491.902,1328.890,1563.119,1134.768,1510.417,1788.899,1399.736,1166.216,1710.107,2263.457,936.405,1253.660,708.087,999.073,1239.057,778.882,1446.261,972.571,976.719,492.672,662.750,752.302,421.742,0.000,604.237,261.393,527.752,446.200,270.329,0.000,371.380,354.040,116.696,0.000,294.963,99.933,202.063,205.473,0.000,212.655,0.000,0.000,111.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9966.49, 13.3,777.4,1.000,1.83,7.52,808.4,ON,52.874,73.094,57.495,42.935,1.929,2.706402e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
3,28/4/2020,15:15:41,19.6,99.6,42.3,6.74501e-008,1.81617e-005,,0.000,0.000,0.000,0.000,0.000,474.895,452.466,439.252,635.954,204.857,1384.342,1339.405,739.809,1434.596,2070.635,1006.769,1469.641,1183.391,2381.000,2230.043,1594.910,2239.528,3138.218,2731.445,2552.507,4248.097,2944.325,3246.772,3163.297,3379.421,3073.409,4157.897,3205.515,3779.992,2668.422,3734.121,4453.964,3995.793,2581.509,4141.433,3614.527,2555.854,3686.779,3101.053,3405.464,3372.762,3410.326,2785.198,2512.035,3053.400,1717.218,2604.669,1774.580,2078.535,2546.590,1425.995,1971.644,1772.765,1517.941,1875.541,1633.785,2292.823,1051.718,1477.339,1554.787,1088.132,1170.621,1638.543,1410.215,865.346,1342.882,1709.552,675.843,883.730,648.310,813.844,446.051,709.660,501.480,759.053,851.128,604.172,522.730,439.746,446.152,540.599,182.893,278.505,468.893,95.241,96.751,98.310,0.000,202.042,102.725,0.000,0.000,108.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,124.491,127.106,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9962.61, 13.3,777.4,1.000,1.83,7.52,808.2,ON,57.375,78.649,61.967,51.397,1.934,2.519124e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
4,28/4/2020,15:21:11,19.4,99.6,43.1,6.73914e-008,1.81521e-005,,0.000,273.891,0.000,0.000,244.907,236.052,455.062,439.207,635.888,1638.683,790.970,1588.322,868.861,3765.422,2070.393,3355.547,3265.528,2364.604,1690.239,2081.171,2447.431,3375.270,2182.880,2505.247,3252.455,3025.400,2943.998,4328.583,2928.683,3083.676,4035.614,2844.578,3739.391,3779.605,4617.952,2921.254,4471.690,3169.844,2903.110,2352.830,3428.818,3742.105,4046.035,2517.271,2757.762,3891.270,2386.968,3124.615,2192.941,1715.355,2943.488,2767.143,1451.774,2061.512,2085.607,1742.708,1971.432,1491.574,1875.676,1486.226,1398.672,1088.868,933.137,1088.448,1632.350,1243.445,1014.429,1326.287,1096.715,1101.230,1816.643,1110.373,879.933,562.313,891.330,1285.495,1330.166,828.258,250.713,758.971,510.622,517.806,522.674,351.758,178.441,360.360,182.873,278.475,375.074,95.231,0.000,0.000,99.911,101.010,102.714,208.956,106.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.05,9958.72, 13.3,777.4,1.000,1.83,7.52,808.0,ON,52.788,73.723,57.614,47.829,1.960,2.593508e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
5,28/4/2020,15:26:41,19.7,99.6,43.6,6.74795e-008,1.81665e-005,,0.000,0.000,0.000,254.137,0.000,0.000,0.000,439.275,1059.979,614.602,593.320,765.414,739.848,717.335,1898.157,1342.428,2122.925,1734.303,1075.775,2081.482,2015.824,2953.806,3001.931,3179.735,2982.239,3656.265,3435.204,3196.617,4032.663,3541.091,4148.356,3939.267,2698.285,3333.769,3387.022,3128.750,4368.009,2040.178,3537.812,3576.869,3478.883,2781.063,3597.039,3455.651,2969.016,2681.056,2302.087,3254.712,2381.870,2393.327,2401.557,2819.090,2016.688,1838.781,1671.289,1742.976,1814.010,1727.364,1563.316,1875.642,1089.248,1944.722,1786.526,997.821,1630.232,794.975,1170.684,1014.384,940.206,1337.425,1263.969,1269.204,886.715,942.431,1149.759,930.302,621.534,497.035,250.754,1012.126,595.822,517.890,348.506,351.815,446.176,540.628,457.257,278.520,562.702,666.724,96.756,0.000,199.855,101.026,102.731,0.000,0.000,216.430,0.000,0.000,0.000,0.000,0.000,120.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9964.55, 13.3,777.4,1.000,1.83,7.52,808.3,ON,56.664,79.150,61.943,51.397,1.944,2.460802e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
6,28/4/2020,15:32:11,20.2,99.6,44.4,6.76263e-008,1.81905e-005,,284.665,0.000,0.000,0.000,245.008,708.450,1593.379,878.778,2968.712,2663.966,2769.546,3636.662,4255.230,3946.369,5178.155,4219.497,5204.354,5046.557,3381.887,4758.912,4896.848,5018.566,4685.632,3675.567,4314.338,3883.134,4320.728,3849.219,4336.250,4404.793,3526.898,4378.110,3847.830,4621.472,3387.932,4738.309,4176.960,4178.622,3538.730,2824.588,2966.706,3302.892,4317.366,2466.562,3319.217,2422.241,3411.412,2027.626,2678.338,2146.312,2643.834,1683.692,1936.538,1839.272,1910.555,1267.958,1893.398,2277.601,1720.109,1641.627,1478.663,1867.435,1400.317,1088.918,1244.232,2176.969,1483.267,780.506,862.077,1023.014,1422.336,1190.201,1360.485,884.017,1540.237,1221.163,1209.883,602.290,836.072,1265.500,255.421,345.353,348.600,351.910,535.556,360.516,548.856,371.460,375.236,190.544,290.347,0.000,0.000,0.000,0.000,0.000,0.000,108.244,0.000,0.000,113.640,115.809,0.000,0.000,0.000,0.000,127.146,0.000,0.000,133.695,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9974.24, 13.3,777.4,1.000,1.83,7.52,808.7,ON,44.901,67.354,50.481,25.029,2.032,3.308247e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
7,28/4/2020,15:37:41,20.4,99.6,44.9,6.76850e-008,1.82001e-005,,0.000,0.000,0.000,0.000,0.000,0.000,227.649,0.000,424.146,819.767,395.690,957.115,1850.292,1435.192,1035.735,1678.646,2287.059,1104.049,1691.119,2379.704,2160.599,1547.796,3003.027,2650.747,3502.168,2270.236,2700.076,4090.222,2812.997,4113.722,3813.401,2955.534,3741.337,2836.184,4620.364,3331.819,4003.098,3468.671,2925.589,3617.196,2688.874,4018.025,3238.533,4254.691,3232.194,3194.495,3750.600,3135.088,2762.342,1486.066,2126.985,1710.029,1856.043,1577.819,2171.225,1268.094,1341.300,2120.749,1954.878,1876.346,1357.700,1286.954,1479.680,1011.247,2177.648,1244.116,1561.502,1327.003,1254.066,1731.441,790.272,952.263,1120.521,1125.235,972.886,895.616,1190.789,456.011,1003.395,590.630,681.197,172.695,348.638,351.948,357.076,90.139,274.458,278.625,469.095,190.564,96.793,196.705,0.000,101.064,102.769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9978.11, 13.3,777.4,1.000,1.83,7.52,808.9,ON,57.322,77.507,61.940,47.829,1.903,2.460251e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
8,28/4/2020,15:43:11,20.5,99.6,45.1,6.77143e-008,1.82049e-005,,0.000,0.000,263.774,0.000,0.000,0.000,0.000,439.457,848.335,409.905,197.855,1531.464,1295.271,179.408,1726.315,1678.733,1143.589,1735.024,1229.969,2974.784,2880.970,3554.260,2694.909,2518.340,2594.334,3194.145,2836.696,3709.029,3250.867,3771.109,2916.294,2189.399,2306.297,1410.377,3901.845,1918.421,3178.069,2041.037,2965.350,3201.734,3152.623,2557.060,2568.595,3419.722,3221.042,2743.966,2668.656,2703.943,2762.476,1651.272,2127.098,1791.554,1371.925,2239.472,1592.384,1585.202,1814.802,1728.116,2033.182,1329.150,934.043,1011.698,1478.342,1555.848,1711.095,1399.706,1483.507,1254.663,1561.993,865.767,1343.535,952.315,1040.540,803.782,810.783,1139.945,903.573,663.001,752.587,590.662,510.926,172.705,261.492,615.943,446.368,90.144,365.963,311.486,154.468,95.287,0.000,0.000,99.970,202.139,102.775,0.000,0.000,0.000,110.225,111.569,113.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9980.05, 13.3,777.4,1.000,1.83,7.52,809.0,ON,57.788,78.787,61.811,47.829,1.954,2.246439e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
9,28/4/2020,15:48:41,20.7,99.6,45.2,6.77731e-008,1.82145e-005,,0.000,0.000,0.000,0.000,245.072,236.211,227.684,219.751,212.106,819.894,395.752,765.811,925.290,717.708,517.948,1511.017,980.321,946.475,1383.859,1938.972,2155.937,2673.883,2184.360,2386.044,2594.604,3153.598,3573.997,2873.730,3282.343,3507.537,3512.205,4160.293,2993.540,3151.821,2875.345,3635.283,2880.418,3693.693,2391.672,3390.412,3106.677,3698.928,4678.630,2191.054,3170.233,3115.133,1620.845,1774.642,2093.006,2642.324,2290.964,1384.530,1856.331,2088.596,1981.868,1426.834,1578.244,1571.171,1485.946,1994.702,1828.602,1790.105,1945.396,1244.812,1711.287,1399.857,1249.403,1249.146,1724.620,1180.719,1027.520,1190.522,880.552,1286.191,1404.255,1358.473,328.608,745.956,752.668,675.115,851.635,752.341,548.188,479.571,316.993,631.072,274.502,185.780,375.337,285.893,0.000,393.474,99.981,101.080,102.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9983.92, 13.3,777.4,1.000,1.83,7.52,809.1,ON,59.338,82.434,65.025,63.780,1.943,2.331839e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
