Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\240420.7.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,28/4/2020,15:04:42,20.1,99.7,40.9,6.75291e-008,1.81857e-005,,3.000,6.000,3.000,9.483,6.517,9.000,8.000,6.000,5.000,9.000,12.000,8.000,9.000,11.000,13.000,14.000,14.000,20.000,17.000,15.000,26.000,26.000,27.000,27.000,25.792,44.208,29.000,27.000,27.000,29.000,41.000,32.000,27.000,39.000,45.405,49.595,38.000,41.000,45.000,28.000,47.000,30.000,43.000,37.000,44.505,28.495,23.000,38.000,26.000,26.000,38.000,20.000,27.000,27.822,27.178,14.000,18.000,14.000,26.000,24.000,21.000,18.948,21.052,15.000,18.000,15.000,17.000,19.000,16.000,17.000,15.000,13.000,12.849,7.151,14.000,10.000,9.000,7.000,11.000,8.000,13.000,12.000,5.000,3.109,4.891,6.000,5.000,3.000,5.000,3.000,2.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9973.91, 13.3,777.4,1.000,1.83,7.52,808.7,ON,49.219,70.868,52.962,34.599,2.072,2.997831e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
2,28/4/2020,15:10:11,19.8,99.6,41.5,6.75088e-008,1.81713e-005,,0.000,0.000,0.000,1.000,0.000,1.000,3.000,4.000,4.000,3.000,7.000,8.000,8.000,5.000,12.000,16.000,17.014,13.986,17.000,16.000,19.000,24.000,25.000,23.000,19.000,35.000,27.000,29.000,25.000,43.000,24.183,51.817,46.000,32.000,33.536,46.169,32.774,35.522,42.566,51.435,38.331,34.669,36.000,43.000,35.000,40.000,41.000,31.000,28.000,33.000,19.000,26.000,14.370,28.595,27.035,23.000,20.000,19.000,17.000,20.000,14.584,19.416,23.000,18.000,15.000,22.000,29.000,12.000,16.000,9.000,12.646,15.619,9.735,18.000,12.000,12.000,6.000,8.000,9.000,5.000,0.000,7.000,3.000,6.000,5.000,3.000,0.000,4.000,3.775,1.225,0.000,3.000,1.000,2.000,2.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9966.49, 13.3,777.4,1.000,1.83,7.52,808.4,ON,52.874,73.094,57.495,42.935,1.929,2.706402e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
3,28/4/2020,15:15:41,19.6,99.6,42.3,6.74501e-008,1.81617e-005,,0.000,0.000,0.000,0.000,0.000,2.012,1.988,2.000,3.000,1.000,7.000,7.000,4.000,8.000,12.000,6.000,9.000,7.506,15.494,15.000,11.077,15.923,23.000,20.617,19.687,33.696,24.000,27.000,27.000,29.586,27.414,38.000,30.000,36.000,26.000,37.000,44.868,41.132,27.000,44.000,39.000,28.000,41.000,35.000,39.000,39.000,40.000,32.978,30.023,37.000,21.000,32.000,22.000,26.000,32.000,18.000,25.000,22.579,19.421,24.000,21.000,29.477,13.523,19.000,20.000,14.000,15.000,21.000,18.000,11.000,17.000,21.552,8.448,11.000,8.000,10.000,5.433,8.567,6.000,9.000,10.000,7.000,6.000,5.000,5.000,6.000,2.000,3.000,5.000,1.000,1.000,1.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9962.61, 13.3,777.4,1.000,1.83,7.52,808.2,ON,57.375,78.649,61.967,51.397,1.934,2.519124e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
4,28/4/2020,15:21:11,19.4,99.6,43.1,6.73914e-008,1.81521e-005,,0.000,1.000,0.000,0.000,1.000,1.000,2.000,2.000,3.000,8.000,4.000,8.302,4.698,21.000,12.000,20.000,20.000,15.000,11.000,14.000,17.000,24.000,16.000,18.912,25.088,24.000,24.000,36.000,25.000,27.000,36.000,26.000,35.000,36.000,45.000,28.949,45.052,32.633,30.367,25.000,37.000,41.000,45.000,28.414,31.586,45.000,28.000,37.000,26.212,20.788,36.000,34.000,18.000,25.790,26.210,22.000,25.000,19.000,24.000,19.020,17.980,14.000,12.000,14.000,21.000,16.000,13.000,17.000,14.000,14.000,23.000,14.000,11.000,7.000,11.000,15.797,16.203,10.000,3.000,9.000,6.000,6.000,6.000,4.000,2.000,4.000,2.000,3.000,4.000,1.000,0.000,0.000,1.000,1.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.05,9958.72, 13.3,777.4,1.000,1.83,7.52,808.0,ON,52.788,73.723,57.614,47.829,1.960,2.593508e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
5,28/4/2020,15:26:41,19.7,99.6,43.6,6.74795e-008,1.81665e-005,,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,5.000,3.000,3.000,4.000,4.000,4.000,11.000,8.000,13.000,11.000,7.000,14.000,14.000,21.000,22.000,24.000,23.000,29.000,28.000,26.582,34.419,31.000,37.000,36.000,25.252,31.749,33.000,31.000,44.000,21.000,37.000,38.000,37.534,30.466,40.000,39.000,34.000,31.000,27.000,38.535,28.465,29.000,29.367,34.633,25.000,23.000,21.000,22.000,23.000,22.000,20.000,24.000,14.000,25.000,22.971,12.832,20.969,10.228,15.000,13.000,12.000,17.000,16.000,16.000,11.083,11.730,14.187,11.430,7.570,6.000,3.000,12.000,7.000,6.000,4.000,4.000,5.000,6.000,5.000,3.000,6.000,7.000,1.000,0.000,2.000,1.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.04,9964.55, 13.3,777.4,1.000,1.83,7.52,808.3,ON,56.664,79.150,61.943,51.397,1.944,2.460802e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
6,28/4/2020,15:32:11,20.2,99.6,44.4,6.76263e-008,1.81905e-005,,1.000,0.000,0.000,0.000,1.000,3.000,7.000,4.000,14.000,13.000,14.000,19.000,23.000,22.000,30.000,25.139,31.861,32.000,22.000,32.000,34.000,35.670,34.330,27.735,33.265,30.791,35.209,32.000,37.000,38.551,31.449,40.000,36.000,44.000,33.000,46.936,42.065,43.000,37.000,30.000,32.000,36.173,47.998,27.830,38.000,28.000,40.000,24.000,32.000,26.000,32.321,20.679,24.000,23.000,24.000,16.000,24.000,29.000,22.000,21.000,19.000,24.000,18.000,14.000,16.000,28.000,19.000,10.000,11.000,13.000,18.000,15.000,17.000,11.000,19.000,15.000,14.731,7.269,10.000,15.000,3.000,4.000,4.000,4.000,6.000,4.000,6.000,4.000,4.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9974.24, 13.3,777.4,1.000,1.83,7.52,808.7,ON,44.901,67.354,50.481,25.029,2.032,3.308247e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
7,28/4/2020,15:37:41,20.4,99.6,44.9,6.76850e-008,1.82001e-005,,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,4.000,2.000,5.000,10.000,8.000,6.000,10.000,14.000,7.000,11.000,16.000,15.000,11.000,22.000,20.000,27.000,18.000,22.000,34.000,24.000,36.000,34.000,27.000,35.000,27.000,45.000,33.000,40.309,35.691,30.586,38.414,29.000,44.000,36.000,48.000,37.000,36.923,43.973,37.105,33.000,18.000,26.000,21.000,23.000,19.728,27.272,16.000,17.000,27.000,25.000,24.000,17.444,16.538,19.018,13.000,28.000,16.000,20.000,17.000,16.000,22.000,10.000,12.000,14.000,14.000,12.000,11.000,14.497,5.503,12.000,7.000,8.000,2.000,4.000,4.000,4.000,1.000,3.000,3.000,5.000,2.000,1.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9978.11, 13.3,777.4,1.000,1.83,7.52,808.9,ON,57.322,77.507,61.940,47.829,1.903,2.460251e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
8,28/4/2020,15:43:11,20.5,99.6,45.1,6.77143e-008,1.82049e-005,,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,4.000,2.000,1.000,8.000,7.000,1.000,10.000,10.000,7.000,11.000,8.000,20.000,20.000,25.258,19.742,19.000,20.000,25.324,23.112,30.830,27.734,33.000,26.000,20.000,21.574,13.426,38.000,19.000,32.000,21.000,31.000,34.000,34.000,28.000,28.551,38.578,36.870,31.714,31.286,32.000,33.000,20.000,26.000,22.000,17.000,28.000,20.000,20.000,23.000,22.000,26.000,17.000,12.000,13.000,19.000,20.000,22.000,18.000,19.000,16.072,19.928,11.000,17.000,12.000,13.000,10.000,10.000,14.000,11.000,8.000,9.000,7.000,6.000,2.000,3.000,7.000,5.000,1.000,4.000,3.354,1.646,1.000,0.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9980.05, 13.3,777.4,1.000,1.83,7.52,809.0,ON,57.788,78.787,61.811,47.829,1.954,2.246439e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
9,28/4/2020,15:48:41,20.7,99.6,45.2,6.77731e-008,1.82145e-005,,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,4.000,2.000,4.000,5.000,4.000,3.000,9.000,6.000,6.000,9.000,13.035,14.965,19.000,16.000,18.000,20.000,25.000,29.116,23.884,28.000,30.690,31.310,38.000,28.000,30.000,28.000,36.000,29.000,38.000,25.000,36.000,33.501,40.499,52.000,24.715,36.285,36.000,19.000,21.000,25.000,32.000,28.000,17.000,23.000,26.111,24.889,18.000,20.000,20.000,19.000,25.510,23.490,23.000,25.000,16.000,22.000,18.000,16.000,16.000,22.000,15.000,13.000,15.000,11.000,16.000,17.318,16.682,4.000,9.000,9.000,8.000,10.000,8.712,6.288,5.450,3.550,7.000,3.000,2.000,4.000,3.000,0.000,4.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9983.92, 13.3,777.4,1.000,1.83,7.52,809.1,ON,59.338,82.434,65.025,63.780,1.943,2.331839e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
