Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\050520.14.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,5/5/2020,10:52:46,20.5,101.2,35.0,6.66437e-008,1.82049e-005,,5.000,4.000,6.000,9.000,5.000,12.000,8.000,13.000,12.000,9.000,9.000,12.000,4.000,5.000,11.000,6.000,5.000,14.000,16.000,10.000,11.000,12.000,18.000,18.000,26.000,29.000,30.633,29.367,32.000,40.773,37.228,40.000,54.118,58.439,54.444,46.000,44.659,35.341,32.000,26.000,34.778,25.222,21.000,31.000,31.510,26.490,20.000,37.000,42.000,41.000,48.000,55.567,61.433,51.000,50.000,49.376,36.624,48.008,35.380,51.612,53.000,37.048,39.953,31.000,25.000,24.000,29.872,19.128,19.000,21.000,19.000,20.000,15.000,8.000,14.000,20.000,10.000,22.000,11.000,8.074,4.926,15.000,12.000,8.000,6.000,2.000,1.000,2.000,2.000,1.000,1.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.359,0.00,10.20,9990.02, 13.3,777.4,1.000,1.80,7.39,734.5,ON,53.857,74.648,57.421,44.508,2.076,2.861733e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
2,5/5/2020,10:58:15,20.5,101.3,35.0,6.65780e-008,1.82049e-005,,0.000,0.000,0.000,0.000,2.000,1.000,2.000,4.000,3.000,7.000,3.000,4.000,5.000,5.000,11.000,4.000,4.000,12.000,10.000,6.000,14.000,8.000,13.000,19.000,25.000,23.000,31.000,34.000,20.000,41.156,46.844,36.734,44.266,47.000,47.000,48.000,42.000,34.000,37.000,21.000,41.000,36.000,20.000,23.000,32.000,22.000,27.000,33.000,41.000,41.000,33.000,47.000,50.000,37.316,43.684,56.000,48.000,43.000,37.000,44.000,41.000,34.000,39.000,34.000,31.659,30.576,17.765,11.000,21.000,17.000,18.000,18.000,11.000,14.000,8.000,13.000,16.000,15.000,11.433,11.567,8.000,11.000,6.000,8.000,2.000,1.000,2.000,2.000,3.000,3.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.359,0.00,10.21,9991.83, 13.3,777.4,1.000,1.80,7.39,734.5,ON,60.116,80.547,64.722,39.954,1.918,2.442332e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
3,5/5/2020,11:03:45,20.7,101.3,35.0,6.66357e-008,1.82145e-005,,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,3.000,4.000,6.000,7.000,13.000,5.000,3.000,7.000,6.000,4.000,14.728,14.272,7.000,13.000,19.568,15.432,16.000,25.000,32.000,20.000,35.000,44.000,29.000,49.000,51.000,44.000,45.616,38.384,35.000,57.000,40.068,29.932,32.000,24.937,30.063,35.823,43.177,27.000,41.282,34.718,42.000,40.000,41.000,43.000,49.648,43.352,50.000,55.000,34.000,52.018,59.982,60.000,48.729,60.271,43.000,26.000,30.000,41.000,28.000,16.000,26.000,15.000,20.000,22.000,11.000,18.000,14.000,13.000,12.000,15.000,5.189,8.811,10.026,12.974,11.000,8.000,7.000,2.000,6.000,1.000,4.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9995.73, 13.3,777.4,1.000,1.80,7.39,733.6,ON,65.308,81.974,66.706,51.397,1.897,2.624931e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
4,5/5/2020,11:09:15,20.7,101.2,35.2,6.67015e-008,1.82145e-005,,0.000,0.000,0.000,1.000,0.000,1.000,0.000,3.000,4.000,6.000,6.000,3.000,6.000,3.000,4.000,4.000,7.000,7.000,7.462,11.538,15.000,9.000,16.000,16.000,18.000,21.000,25.000,20.000,29.000,34.000,33.000,44.000,55.000,37.000,43.000,47.000,42.000,34.000,48.000,40.000,41.000,25.000,18.000,32.000,26.038,26.962,32.000,45.000,42.000,48.210,42.733,44.058,45.000,58.000,50.007,57.838,45.155,49.000,52.000,43.171,41.829,28.000,32.000,35.000,28.000,45.000,33.496,15.504,20.000,20.000,21.618,20.382,12.000,16.000,16.000,15.000,15.000,12.000,10.941,13.059,5.000,9.000,7.000,9.000,4.000,4.000,4.000,3.000,5.000,3.000,1.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.20,9993.91, 13.3,777.4,1.000,1.80,7.39,733.5,ON,66.962,83.386,67.835,42.935,1.895,2.507091e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
5,5/5/2020,11:14:45,20.6,101.3,35.3,6.66068e-008,1.82097e-005,,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,3.000,8.000,4.000,2.000,4.000,4.000,7.807,4.193,8.000,12.000,6.000,9.000,14.000,10.000,12.000,17.181,13.819,14.000,23.000,31.000,27.000,39.000,32.434,41.566,39.347,55.653,39.000,45.000,34.904,45.096,42.000,26.000,32.000,25.000,24.000,30.000,29.000,33.000,33.548,20.052,34.473,38.928,48.000,45.833,43.167,49.000,54.000,38.000,49.000,55.000,45.945,51.055,49.000,40.000,38.000,37.000,33.000,21.062,22.938,22.000,23.000,21.000,19.000,15.000,16.000,10.000,20.000,10.000,22.000,9.000,12.000,8.000,8.000,4.000,6.000,6.398,3.602,7.000,3.000,3.000,3.000,2.000,4.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.359,0.00,10.21,9993.53, 13.3,777.4,1.000,1.80,7.39,734.6,ON,66.287,83.084,67.613,44.508,1.894,2.424443e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
6,5/5/2020,11:20:15,20.6,101.2,35.3,6.66726e-008,1.82097e-005,,0.000,0.000,1.000,0.000,0.000,1.000,3.000,3.000,7.000,8.000,4.000,5.000,10.000,4.000,16.000,6.000,3.416,6.584,9.000,9.000,13.000,8.000,12.000,19.000,22.000,25.000,23.000,37.466,25.534,42.000,30.000,43.083,47.917,53.000,42.379,61.622,30.000,49.316,37.318,27.367,31.000,28.000,37.000,29.000,28.000,33.000,30.000,47.000,42.000,30.000,36.000,34.000,35.000,36.184,42.028,36.788,40.315,42.685,41.000,47.000,46.000,34.794,34.484,35.722,32.000,27.000,19.331,18.669,19.000,15.000,18.000,12.000,15.000,13.000,12.000,10.000,7.000,8.000,11.000,8.000,11.000,2.000,2.000,2.000,5.000,5.000,3.000,2.000,2.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.20,9992.22, 13.3,777.4,1.000,1.80,7.39,733.4,ON,57.771,76.427,61.978,47.829,1.896,2.423408e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
7,5/5/2020,11:25:45,20.7,101.3,35.3,6.66357e-008,1.82145e-005,,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,2.000,6.000,7.000,7.000,7.000,8.000,11.620,7.380,9.000,9.000,7.000,4.000,12.000,10.000,19.000,19.000,16.000,16.000,28.000,24.000,30.000,29.000,32.000,36.000,43.000,42.000,42.000,46.000,52.000,37.000,36.000,33.000,32.000,32.937,26.063,27.000,30.509,20.491,32.000,26.000,28.000,44.000,43.000,52.000,40.000,40.000,34.473,48.912,52.615,52.000,45.000,45.000,58.000,43.000,38.000,35.000,32.000,26.000,37.000,26.000,17.252,13.748,15.000,17.000,9.000,11.000,10.000,16.000,11.000,13.000,10.000,8.000,9.000,5.000,5.000,9.000,8.000,1.000,5.000,5.000,4.000,3.000,3.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9995.48, 13.3,777.4,1.000,1.80,7.39,733.6,ON,62.939,81.502,65.458,49.581,1.935,2.448861e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
8,5/5/2020,11:31:14,20.8,101.2,35.3,6.67304e-008,1.82193e-005,,0.000,0.000,0.000,0.000,0.000,1.000,5.000,6.000,7.000,9.636,18.364,15.000,19.718,14.282,18.000,19.000,12.000,17.000,15.690,7.310,10.000,14.000,12.000,15.000,23.000,20.000,24.000,15.826,31.174,27.000,31.623,40.841,57.551,58.985,46.007,45.993,51.000,44.927,37.496,38.067,27.510,29.273,24.727,39.000,35.000,31.987,32.013,30.000,41.000,47.000,36.000,45.000,44.000,45.000,39.803,40.197,49.000,43.000,42.000,49.000,38.205,43.213,41.582,37.000,34.355,41.645,16.000,21.000,26.000,27.000,17.000,13.000,16.000,14.000,12.000,19.000,9.000,17.000,15.000,21.738,12.262,13.000,6.000,7.000,9.000,5.000,4.000,1.000,2.000,3.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.20,9995.86, 13.3,777.4,1.000,1.80,7.39,733.6,ON,56.837,78.053,60.817,44.508,2.024,2.785199e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
9,5/5/2020,11:36:45,20.9,101.3,35.3,6.66934e-008,1.82241e-005,,0.000,0.000,0.000,0.000,2.000,0.000,3.000,6.000,11.000,10.000,16.000,13.000,18.000,18.000,19.000,13.000,11.000,23.000,12.000,15.000,11.000,14.868,15.132,13.000,19.000,19.000,21.000,32.000,28.469,32.684,37.372,37.475,38.286,59.364,36.350,64.000,52.517,38.483,52.000,30.754,43.246,31.000,35.000,27.000,27.000,32.000,23.000,29.000,31.000,45.259,34.742,56.000,49.750,39.250,52.408,52.773,47.044,50.776,41.056,48.753,33.191,33.000,41.000,24.000,32.000,17.000,30.852,18.148,21.000,14.000,19.000,17.000,23.000,12.000,20.000,21.000,9.338,11.662,18.000,13.000,10.000,8.000,5.000,6.000,5.000,4.000,3.000,4.000,1.000,1.000,1.000,2.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9582.01, 13.3,749.9,1.000,1.80,7.39,733.7,ON,55.262,76.632,59.604,47.829,2.015,2.756730e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
