Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\LongTerm C.2.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,1/7/2020,15:20:15,27.0,99.7,45.7,6.95553e-008,1.85148e-005,,5379.362,4513.595,4450.827,4806.643,3957.797,4631.265,3981.662,4222.494,3512.728,4231.748,3088.641,2615.019,2728.815,3300.079,2999.761,3009.445,2930.314,2750.816,2261.204,2263.202,2166.568,2596.755,2405.576,2226.796,1858.798,1743.037,1787.907,1667.694,1629.499,1529.316,1631.661,1697.635,1747.796,1635.083,1912.055,1637.739,1480.667,1319.638,1192.021,1246.569,1374.596,942.547,826.373,1044.502,749.795,629.307,571.719,650.533,561.759,634.985,482.791,469.068,538.128,698.112,752.867,714.878,570.547,894.942,800.931,928.376,745.345,1065.697,838.692,953.788,1172.571,955.015,996.156,792.594,719.457,672.595,828.084,741.629,745.260,619.747,766.715,520.073,455.242,425.241,361.656,319.158,328.718,219.393,152.162,268.819,77.922,170.475,93.166,54.046,27.298,41.585,70.407,28.616,29.085,14.703,0.000,0.000,0.000,15.749,16.034,16.230,0.000,0.000,0.000,0.000,0.000,0.000,18.498,18.760,0.000,0.000,0.000,300,8,50,1,3.000,0.339,0.00,10.69,9663.81, 13.8,749.9,1.000,3.97,7.43,761.8,ON,27.217,50.537,34.648,14.075,2.207,2.155334e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
2,1/7/2020,15:25:44,26.7,99.7,46.1,6.94671e-008,1.85006e-005,,125.333,200.267,769.512,1260.899,1738.810,2251.581,2391.042,2403.869,3569.570,3470.464,4402.614,3294.626,4232.336,3826.740,3752.271,3234.593,3515.206,3368.838,2556.781,2967.141,2596.285,2005.315,1911.638,1836.833,2005.108,1797.696,2172.370,1561.916,1487.566,1895.530,1885.295,1660.306,1623.250,1777.822,1282.595,1333.160,1465.042,1286.214,1260.061,1095.127,1238.529,925.033,1154.904,982.765,775.672,822.125,671.928,727.265,608.206,633.947,584.972,731.145,529.772,613.661,701.607,566.568,713.664,790.681,810.591,706.558,783.522,573.070,687.027,862.529,923.623,1265.750,877.422,950.197,764.627,616.626,691.785,559.310,590.185,571.521,619.962,558.723,294.774,355.047,341.581,344.674,248.454,151.169,254.316,231.059,65.117,105.202,133.468,67.747,68.436,97.305,42.363,28.697,43.751,29.489,14.993,0.000,15.517,0.000,16.079,0.000,16.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.70,9658.22, 13.8,749.9,1.000,3.97,7.44,762.8,ON,30.965,55.006,39.418,20.169,2.111,1.834733e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
3,1/7/2020,15:31:14,26.5,99.7,46.4,6.94083e-008,1.84911e-005,,41.775,160.198,76.942,296.649,607.576,1136.789,1195.372,1233.763,1654.977,1635.754,1595.252,1759.054,2051.152,1857.901,1746.913,1949.524,2430.514,1886.492,2107.986,1778.773,2057.215,1861.418,2159.590,1642.126,2005.538,1526.960,1539.681,2105.778,1683.387,1659.781,1864.452,1484.962,1385.376,1816.766,1925.863,1583.451,1701.988,1502.764,1432.490,1694.080,1337.945,1078.932,1397.256,1158.597,1079.105,970.136,864.074,899.511,842.769,867.111,859.205,858.101,950.685,933.330,573.144,897.611,771.285,837.032,957.611,889.575,840.202,1076.720,830.346,1036.097,958.035,978.345,1024.958,882.883,965.986,821.441,996.692,689.933,646.872,676.662,619.005,450.786,306.195,416.428,353.733,196.938,273.270,188.942,101.716,166.856,65.110,78.893,80.072,69.522,162.428,41.697,14.711,42.439,87.492,0.000,14.991,15.248,0.000,15.791,32.156,0.000,0.000,0.000,0.000,17.566,17.801,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.70,9654.90, 13.8,749.9,1.000,3.97,7.44,762.7,ON,43.475,66.741,49.524,25.029,2.099,1.517422e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
4,1/7/2020,15:36:44,26.5,99.7,46.7,6.94083e-008,1.84911e-005,,0.000,0.000,153.884,444.970,714.801,1281.458,1255.187,1394.019,1624.095,1913.185,1702.620,1535.647,2078.156,2538.331,2165.404,2413.346,2631.601,2921.824,2752.208,2674.431,2099.065,2374.595,2896.368,2575.637,2435.447,1913.385,2263.193,2063.371,2188.431,2034.234,1962.621,2011.920,2027.066,1840.365,2289.874,1590.755,1955.722,1928.079,1488.316,1639.138,1866.477,1185.540,1601.006,1375.457,1280.230,1036.895,1132.230,1010.698,1208.853,997.807,1254.826,1175.997,905.968,1003.848,1316.430,990.244,951.610,966.133,889.742,924.371,1133.232,930.746,1023.285,1194.989,1261.573,1037.905,1025.083,1156.059,1011.700,1182.576,876.173,810.351,732.126,881.192,687.675,537.846,607.704,362.672,341.539,315.159,315.445,264.516,165.287,141.186,208.357,157.788,66.727,81.289,95.800,55.596,56.478,28.694,72.910,73.712,14.991,0.000,15.515,0.000,48.232,0.000,49.734,0.000,0.000,0.000,17.801,0.000,18.548,18.811,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.70,9654.90, 13.8,749.9,1.000,3.97,7.44,762.7,ON,42.914,66.881,49.597,25.946,2.090,1.811314e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
5,1/7/2020,15:42:14,26.8,99.7,47.0,6.94965e-008,1.85054e-005,,0.000,0.000,307.815,519.218,750.676,1549.792,2000.772,2375.669,2526.370,2660.937,3059.516,3278.932,3757.533,3465.848,3499.605,2938.721,3329.149,3302.253,3461.209,3127.008,2824.905,3148.189,2434.313,2208.329,2553.984,2092.170,2513.761,2021.878,1758.969,2000.920,1482.290,1763.241,1814.010,1536.238,1660.980,1569.555,1710.711,1615.371,1552.585,1631.342,1560.613,1340.778,1233.703,1186.721,1018.553,952.682,813.634,769.903,818.224,638.388,644.502,784.109,533.860,618.965,750.477,682.228,713.700,515.683,717.146,554.544,721.391,729.907,989.476,1138.578,853.653,973.416,822.143,968.402,687.741,710.344,772.535,742.897,558.619,562.885,437.676,498.931,383.496,386.907,352.436,247.582,307.520,242.475,163.187,194.705,91.169,105.211,93.434,40.650,56.273,95.763,42.365,14.349,43.753,29.489,29.987,30.502,15.517,0.000,0.000,0.000,33.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.69,9660.25, 13.8,749.9,1.000,3.97,7.44,762.9,ON,33.908,56.709,41.738,21.674,2.055,1.840964e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
6,1/7/2020,15:47:44,27.0,99.7,47.5,6.95553e-008,1.85148e-005,,41.786,0.000,38.481,482.181,965.222,1991.901,2464.164,2564.510,3434.518,4485.323,3967.859,5210.413,4238.466,4681.893,3907.390,4863.749,4598.053,5051.205,4756.511,5008.412,3967.482,4790.709,3813.954,3407.458,3244.253,3500.770,2879.197,2559.154,2585.880,2300.868,2411.689,2028.564,2130.364,2011.518,1974.490,1841.483,1826.973,2009.836,1980.289,1807.178,1647.056,1279.538,1443.863,1358.003,1180.795,1052.302,846.263,1109.551,720.604,807.108,716.179,867.369,753.582,734.827,674.142,739.773,575.984,780.130,860.334,782.804,884.817,931.119,1180.713,828.605,953.265,935.590,906.199,865.650,807.944,837.279,950.796,810.570,829.219,691.968,537.131,490.185,447.042,339.067,231.818,321.240,197.647,327.591,203.484,141.225,169.334,118.371,133.489,94.861,27.379,55.611,70.615,43.052,0.000,14.746,0.000,15.253,46.557,0.000,0.000,0.000,0.000,0.000,0.000,17.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.69,9663.81, 13.8,749.9,1.000,3.97,7.44,763.0,ON,31.724,52.574,39.377,20.908,1.988,2.362677e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
7,1/7/2020,15:53:14,27.1,99.7,47.5,6.95848e-008,1.85196e-005,,0.000,0.000,56.379,502.040,858.019,1998.631,2026.140,2628.806,2665.756,3942.034,4311.078,4320.502,4539.109,4309.968,5093.717,4506.864,4981.994,4691.932,4022.194,5281.775,4763.086,4760.447,4486.508,4490.557,3531.046,4258.240,3440.739,3601.137,3392.279,2853.042,2670.874,2809.992,3078.648,2551.613,2078.714,2513.468,2204.279,1725.976,2132.583,1607.579,1657.932,1841.278,1977.610,1717.485,1331.543,1324.666,1212.922,1303.761,943.377,1048.340,1058.026,1073.905,977.258,816.925,1033.961,925.223,656.250,1111.801,1018.704,1159.385,1258.751,1135.648,1047.588,1333.423,1379.354,941.779,1116.366,1057.039,1089.138,990.470,881.131,892.642,807.478,893.549,579.139,617.840,479.440,401.284,388.228,270.870,397.619,201.599,203.494,205.430,182.366,157.841,133.495,54.209,219.040,69.517,112.991,28.704,43.759,58.988,44.988,0.000,31.040,31.592,0.000,32.557,49.750,16.900,17.229,17.571,53.418,0.000,18.554,0.000,0.000,19.509,19.951,300,8,50,1,3.000,0.338,0.00,10.69,9665.59, 13.8,749.9,1.000,3.97,7.44,763.1,ON,34.327,56.378,41.872,27.881,2.013,2.622834e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
8,1/7/2020,15:58:44,27.2,99.7,47.5,6.96142e-008,1.85243e-005,,0.000,0.000,76.515,221.251,888.535,1357.207,1861.794,2517.774,2645.542,3083.209,3905.005,3724.653,4381.473,4446.132,4807.934,5450.064,5291.366,5548.388,5175.547,5833.546,5137.339,5065.858,5206.572,4505.496,4495.125,3950.222,3210.217,3850.476,3012.519,2656.862,2594.891,3046.256,2484.757,2250.670,2449.348,2151.959,2104.892,1885.056,2041.315,2295.412,1840.777,1715.563,1730.550,1607.354,1549.823,1282.119,1219.404,1139.913,1020.025,862.324,1151.168,1157.677,923.081,976.303,920.252,981.021,913.602,1086.475,1132.420,1039.238,985.471,1197.813,1260.133,1019.690,1105.718,1049.123,1110.016,883.290,930.917,1006.264,1008.922,644.702,808.921,621.890,706.731,353.327,615.692,412.729,388.178,293.767,284.116,275.584,151.730,153.180,116.554,209.222,180.687,86.031,95.271,82.933,84.248,28.535,14.501,58.643,0.000,30.331,46.287,15.704,15.988,0.000,0.000,0.000,17.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.69,9667.37, 13.8,749.9,1.000,3.97,7.43,760.7,ON,33.581,54.527,41.355,27.881,1.966,2.628285e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
9,1/7/2020,16:04:14,27.2,99.7,47.4,6.96142e-008,1.85243e-005,,83.579,0.000,115.454,260.448,392.513,1068.271,1527.943,2051.789,3713.380,3493.702,4219.982,4751.701,4505.921,5463.276,5219.787,5920.442,5850.452,5057.914,5727.502,5847.000,5163.796,5207.948,5726.746,4836.848,4920.336,4761.258,3965.541,3802.769,3820.632,3112.774,3544.836,2722.781,2742.287,2698.053,2594.439,2578.391,2391.169,2724.264,2878.641,2398.035,2045.538,2025.576,1956.091,1746.258,1713.470,1539.394,1501.821,1146.683,962.228,1024.571,1057.819,1147.623,1160.291,1254.313,952.692,1163.357,1006.507,878.860,1145.784,1296.396,1025.574,1119.107,1066.178,1153.479,1281.943,1161.355,1188.281,933.920,1010.986,1062.036,1090.261,852.168,655.743,753.890,723.425,485.433,515.424,580.494,390.472,369.398,211.243,301.094,281.157,128.400,273.572,118.385,133.504,94.871,54.763,27.808,70.623,43.057,14.587,14.748,44.990,45.762,15.521,0.000,16.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.338,0.00,10.69,9666.88, 13.8,749.9,1.000,3.97,7.44,763.2,ON,34.203,54.158,41.477,24.144,1.945,2.873400e+003,Long Term C,MASIN,,,Optics,,Normal Scan,
