Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\LongTerm D.12.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,3/7/2020,10:43:07,26.0,100.7,39.1,6.85736e-008,1.84674e-005,,1249.981,1597.836,1381.339,1220.502,1782.365,996.372,1390.943,1470.352,1681.556,1654.619,1870.856,1670.887,1318.981,1592.058,1346.603,1254.712,1155.873,1141.462,1316.610,1615.489,1371.443,925.771,1815.338,1452.556,1981.738,1663.386,1839.097,1846.450,1884.256,1882.853,1579.352,1695.452,1625.029,1619.956,1329.441,1378.671,1259.054,1311.291,1403.009,1403.398,996.564,984.725,706.736,876.891,1004.025,767.799,856.225,890.706,846.878,792.941,928.167,716.399,1014.905,1042.441,940.650,1098.740,906.866,948.502,910.120,1194.348,981.898,1110.705,1100.176,1198.528,1176.417,1076.324,1124.571,1226.593,956.134,909.995,995.090,982.952,793.463,957.281,632.560,501.923,609.469,542.554,500.962,591.797,527.891,276.370,393.099,256.017,181.824,183.594,173.028,175.654,109.193,69.310,56.327,28.617,29.086,29.406,0.000,45.623,0.000,0.000,48.104,32.461,0.000,33.699,0.000,17.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.342,0.00,10.06,9670.42, 13.3,749.9,1.000,3.97,7.43,758.1,ON,44.581,73.194,51.174,33.376,2.301,1.547465e+003,Long Term D,MASIN,,,optics,,Normal Scan,
2,3/7/2020,10:48:36,26.1,100.7,39.3,6.86027e-008,1.84721e-005,,0.000,40.182,38.599,37.202,71.716,241.932,247.745,500.428,454.330,610.657,868.597,784.378,460.319,918.889,757.859,543.904,976.825,1084.827,944.944,935.940,1125.696,1103.686,1202.854,1205.306,1322.076,1236.683,1401.994,1350.163,1273.725,1325.137,1949.788,1721.503,1535.004,1282.149,1409.133,1315.531,1034.766,1218.652,1173.114,1025.206,938.019,792.097,970.692,865.780,872.692,671.082,899.250,1001.137,711.782,1025.805,862.059,691.221,954.890,872.551,816.826,861.629,1027.932,1163.337,1190.208,1167.116,1196.115,1062.612,1271.944,1272.821,1285.873,1194.323,1226.067,1025.051,1259.488,1238.165,969.040,1024.630,913.685,717.563,747.543,798.385,579.970,567.072,734.265,347.499,372.098,315.927,262.361,314.617,300.485,237.452,267.780,95.145,96.112,55.789,99.146,57.575,43.889,29.581,0.000,30.597,15.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.06,9671.48, 13.3,749.9,1.000,3.97,7.43,760.6,ON,62.879,89.611,67.808,41.418,2.124,1.204903e+003,Long Term D,MASIN,,,optics,,Normal Scan,
3,3/7/2020,10:54:06,26.3,100.7,39.3,6.86609e-008,1.84816e-005,,0.000,40.186,0.000,74.417,215.171,172.826,233.223,578.827,574.590,524.531,1104.166,786.870,941.895,840.224,1237.985,1056.435,1123.740,623.252,1260.069,1349.640,1752.808,1288.339,1464.377,1299.705,1670.673,1501.624,1839.389,1928.467,1982.224,2093.870,1855.078,1670.294,1560.634,1645.135,1388.597,1454.901,1267.605,1397.316,1185.930,1019.877,990.676,1162.851,974.338,700.575,716.008,823.107,836.445,939.899,915.053,1006.768,754.350,786.649,933.112,936.484,1150.098,1012.719,1131.892,863.098,1017.561,1087.390,1116.492,1206.599,1128.254,1275.262,1193.352,1413.595,1310.854,1100.462,1174.869,1193.019,1104.495,1087.482,910.047,1037.813,707.313,707.861,541.018,424.544,624.193,444.612,348.966,214.853,285.740,419.864,222.122,158.322,107.123,176.720,68.659,82.264,58.101,100.770,73.157,0.000,0.000,45.900,15.567,0.000,16.133,16.329,0.000,0.000,0.000,17.625,0.000,0.000,0.000,0.000,6.077,13.403,0.000,300,8,50,1,3.000,0.340,0.00,10.06,9675.57, 13.3,749.9,1.000,3.97,7.43,760.8,ON,55.341,84.733,63.612,39.954,2.122,1.326466e+003,Long Term D,MASIN,,,optics,,Normal Scan,
4,3/7/2020,10:59:36,26.3,100.7,39.3,6.86609e-008,1.84816e-005,,41.918,0.000,0.000,37.208,143.447,276.522,299.865,450.194,434.531,539.900,525.026,752.735,843.514,888.828,1061.748,857.646,981.885,992.616,1104.086,1086.947,1075.157,1050.291,1045.424,1041.144,1415.364,1444.100,1418.380,1800.573,1918.137,1809.499,1997.484,1641.449,1726.530,1530.203,1064.051,1510.203,1311.748,1305.246,1176.013,1116.362,906.645,951.527,842.673,1081.118,869.079,831.968,873.905,816.222,764.215,587.570,674.628,725.596,989.566,854.539,905.370,606.806,1037.196,841.452,1041.009,1077.327,1126.748,1093.473,1152.678,1009.554,1381.539,987.470,1410.771,1137.906,1020.637,1082.015,931.825,1145.540,1041.433,788.242,774.918,771.053,661.258,545.840,623.105,444.197,338.031,341.241,357.207,283.328,339.718,250.674,133.906,163.126,137.317,27.892,56.670,43.186,0.000,73.960,30.083,15.300,31.135,0.000,0.000,0.000,0.000,0.000,0.000,17.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.06,9675.57, 13.3,749.9,1.000,3.97,7.43,760.8,ON,57.688,87.613,65.844,41.418,2.127,1.230703e+003,Long Term D,MASIN,,,optics,,Normal Scan,
5,3/7/2020,11:05:06,26.4,100.7,39.2,6.86900e-008,1.84864e-005,,0.000,0.000,0.000,74.200,143.036,510.145,903.575,1058.161,1206.993,1465.518,2019.935,1733.139,2268.241,2473.047,2289.125,1988.127,1823.724,1726.996,1522.556,1620.092,1396.342,1377.321,1257.107,1406.824,1479.585,1049.168,1567.326,1124.361,1368.821,1608.132,1522.308,1485.735,1591.261,1621.220,1562.187,1181.309,1113.536,1390.008,1156.419,1118.296,1068.019,1064.338,919.036,880.526,1082.815,871.223,1000.365,887.978,777.314,1036.203,776.066,937.172,943.898,887.090,1013.152,1004.120,1174.564,1247.611,1325.788,1310.681,1330.693,1205.184,1283.727,1428.730,1298.580,1179.185,1204.437,1160.246,1140.061,1200.404,1164.947,1100.280,1156.492,1036.482,825.797,544.898,551.452,798.275,573.567,443.319,559.227,378.062,308.990,265.927,325.708,263.101,186.927,230.428,109.540,97.339,84.756,71.768,14.589,14.749,29.996,30.511,0.000,0.000,16.085,16.281,0.000,0.000,17.232,0.000,0.000,0.000,0.000,0.000,19.230,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.06,9677.36, 13.3,749.9,1.000,3.97,7.43,759.6,ON,51.509,80.898,58.191,22.468,2.241,1.501235e+003,Long Term D,MASIN,,,optics,,Normal Scan,
6,3/7/2020,11:10:36,26.4,100.6,39.2,6.87582e-008,1.84864e-005,,41.925,0.000,0.000,74.428,71.736,345.711,266.585,450.273,714.002,870.010,1390.128,1064.804,1029.230,1365.578,1061.294,1228.666,1363.085,1123.740,1177.618,1378.078,1301.079,1750.812,1355.987,1322.001,1425.170,1974.522,1778.654,1620.183,1720.253,1551.427,1625.443,1707.189,1644.711,1604.840,1559.912,1702.979,1599.183,1394.297,1190.215,1268.217,1163.704,928.511,1024.656,838.849,945.873,779.315,922.225,902.957,1004.849,859.726,880.467,1023.809,808.846,1084.433,1125.312,1077.079,932.605,965.018,1068.476,1081.134,1336.985,1164.400,1230.159,1398.978,1400.333,1413.552,1419.267,1118.039,1147.484,1145.447,1129.022,1057.217,1031.144,964.871,700.287,691.343,577.187,642.995,569.876,450.177,461.219,265.459,294.913,320.566,220.151,252.745,174.105,135.971,82.405,139.488,70.847,43.193,14.634,14.795,15.044,0.000,0.000,31.694,16.135,0.000,0.000,16.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.05,9675.50, 13.3,749.9,1.000,3.97,7.43,760.8,ON,55.408,84.036,62.902,34.599,2.136,1.385795e+003,Long Term D,MASIN,,,optics,,Normal Scan,
7,3/7/2020,11:16:06,26.5,100.6,39.1,6.87874e-008,1.84911e-005,,0.000,40.077,38.497,37.106,143.057,103.413,166.141,384.830,592.377,893.269,606.417,803.828,789.416,995.023,982.657,857.560,1182.863,806.316,1038.720,850.171,881.238,883.131,1016.120,1296.165,1132.682,1311.648,1270.582,1299.420,1385.791,1435.915,1766.660,1454.038,1201.446,1627.422,1286.833,1290.093,1282.332,1120.716,1102.980,962.125,960.912,786.448,720.960,712.859,756.764,712.709,849.310,789.246,720.965,769.751,758.523,922.474,836.420,1121.337,1126.662,983.377,1036.473,1058.923,1377.162,1243.979,1408.877,1340.469,1487.893,1498.949,1419.135,1580.033,1148.852,1359.398,1302.850,1275.973,987.260,952.119,819.623,866.407,907.923,668.926,563.530,573.676,702.764,394.123,472.318,453.759,419.857,308.245,208.492,328.940,186.963,108.454,136.948,97.358,42.386,71.781,29.183,14.752,30.002,45.776,15.525,0.000,32.176,0.000,0.000,0.000,0.000,17.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.05,9677.54, 13.3,749.9,1.000,3.97,7.43,759.6,ON,67.066,92.422,69.698,41.418,2.148,1.231931e+003,Long Term D,MASIN,,,optics,,Normal Scan,
8,3/7/2020,11:21:37,26.4,100.6,39.0,6.87582e-008,1.84864e-005,,41.925,40.193,38.609,148.856,358.679,207.426,866.406,1119.234,2055.174,1620.003,1940.412,2072.117,1816.165,2258.502,2021.558,1695.524,1382.399,1666.820,1477.864,1640.144,1349.456,1730.216,1418.729,1544.060,1583.906,1717.062,1850.567,1796.304,1741.840,1792.419,2093.879,1769.326,2134.380,1697.529,1584.069,1569.955,1468.347,1436.973,1530.982,1387.655,1329.418,1203.941,1079.864,921.305,1141.017,1138.248,1158.459,1015.917,1237.621,1172.454,1061.715,1357.593,1198.715,1182.545,1155.847,1401.993,1440.892,1175.892,1011.138,1551.918,1620.971,1778.943,1511.401,1524.264,1411.704,1481.863,1499.271,1335.183,1215.334,1072.562,1284.258,1254.749,890.520,1036.339,1102.968,703.267,601.248,630.875,550.851,427.386,366.479,303.376,267.949,392.019,321.044,250.723,254.474,122.364,123.608,41.845,42.508,57.591,29.268,14.795,30.088,15.303,0.000,0.000,32.269,0.000,0.000,33.910,17.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.05,9675.50, 13.3,749.9,1.000,3.97,7.43,760.8,ON,52.761,79.639,58.606,22.468,2.183,1.675828e+003,Long Term D,MASIN,,,optics,,Normal Scan,
9,3/7/2020,11:27:07,26.4,100.6,39.0,6.87582e-008,1.84864e-005,,41.925,40.193,0.000,186.069,179.339,311.140,666.470,771.891,682.949,809.996,955.718,1316.980,920.879,971.668,1238.190,1081.176,1123.946,1177.511,945.200,1269.218,1041.886,951.434,1460.699,1319.315,1197.286,1143.644,1724.778,1813.914,1565.829,1841.387,1785.814,1635.236,1640.872,1605.266,1599.105,1643.865,1131.647,1130.245,1108.440,1259.486,1203.357,945.412,985.174,973.213,782.953,783.008,836.034,856.640,768.858,859.714,856.508,1100.873,1107.626,814.321,870.513,931.925,1035.861,1101.965,1089.447,1121.658,1137.080,1247.696,1306.380,1091.477,1252.277,1208.632,977.270,1068.528,917.966,1060.062,821.272,978.947,864.152,753.050,663.162,645.174,565.167,521.667,599.814,419.974,407.675,484.081,433.834,244.734,324.703,173.570,120.535,95.175,96.139,13.948,42.508,57.591,43.901,44.384,15.044,15.303,31.140,0.000,0.000,32.663,16.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.05,9675.75, 13.3,749.9,1.000,3.97,7.43,760.8,ON,55.389,83.437,62.226,39.954,2.145,1.298578e+003,Long Term D,MASIN,,,optics,,Normal Scan,
