Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\LongTerm E.13.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,15/7/2020,18:07:00,26.0,100.7,43.7,6.85736e-008,1.84674e-005,,2682.428,2692.168,2721.937,2250.148,3396.844,3453.772,3324.909,4197.319,3704.187,3653.026,4010.334,3987.313,5090.856,5216.074,5586.124,5956.034,5397.970,4676.715,5625.002,6039.620,6207.931,5661.785,5927.595,5107.632,5401.081,4660.129,4726.541,4334.673,4246.045,4226.494,3824.724,3869.278,3132.603,3194.947,2604.038,2883.295,2392.426,2321.784,2232.487,1828.943,2441.654,1903.997,1703.808,1997.421,2033.494,1883.708,1926.611,1570.422,1648.511,1846.897,2160.543,2106.538,1622.865,2400.987,1967.438,2228.693,2145.703,2475.361,1921.030,2240.557,2073.961,2128.021,1986.100,1727.571,1787.071,1615.999,1718.576,1646.339,1449.833,1260.897,1187.136,1045.245,855.085,941.026,735.638,553.785,535.228,439.584,486.485,321.055,373.841,303.272,344.395,270.411,287.409,224.251,307.936,108.734,96.107,111.550,84.989,86.359,43.888,59.159,30.079,15.298,0.000,15.842,16.129,16.326,0.000,16.949,0.000,35.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.06,9670.17, 13.3,749.9,1.000,3.97,7.43,760.5,ON,34.800,56.732,41.904,28.903,2.078,3.594004e+003,Long Term E,MASIN,,,optics,,Normal Scan,
2,15/7/2020,18:12:29,26.0,100.7,43.7,6.85736e-008,1.84674e-005,,127.235,203.299,273.402,342.712,721.956,981.711,1244.918,1659.346,2355.369,2458.310,2578.258,2989.629,2967.547,3141.245,4200.220,3547.311,3979.821,4986.888,4542.388,4746.651,4668.532,4611.366,4809.763,4678.518,4935.017,4161.168,4515.780,4366.325,4360.351,4128.032,3816.894,3247.135,3409.325,2745.668,2898.261,3170.446,2833.261,2765.282,2930.255,2526.226,2473.911,2713.261,2600.970,2732.620,2549.879,2645.114,2586.693,2616.448,2522.486,2994.472,3227.705,3000.188,3026.018,3033.435,3029.585,3081.549,2916.357,3205.109,3044.719,2716.157,2544.531,2492.438,2570.207,2542.902,2177.807,2087.072,2116.699,1987.756,1889.011,1468.631,1288.133,1076.194,940.766,1071.405,1185.875,545.329,608.222,773.187,693.448,474.835,567.456,332.470,525.525,316.461,277.618,293.673,270.967,151.291,125.044,141.103,186.341,43.694,103.625,104.764,91.313,61.920,31.501,16.031,16.322,33.043,16.830,51.454,17.485,0.000,0.000,0.000,0.000,0.000,19.513,19.800,0.000,300,8,50,1,3.000,0.336,0.00,10.06,9670.17, 13.3,749.9,1.000,3.97,7.44,765.5,ON,47.485,70.104,53.540,25.946,2.040,3.354565e+003,Long Term E,MASIN,,,optics,,Normal Scan,
3,15/7/2020,18:17:59,26.0,100.8,43.6,6.85055e-008,1.84674e-005,,0.000,80.351,38.592,409.181,501.933,449.228,1232.472,1382.395,1334.280,1529.342,2301.703,2842.774,2815.708,3517.592,3359.496,3537.123,3500.882,4374.591,3839.700,4345.754,4347.696,4993.596,4212.035,4996.617,4328.146,4715.823,4379.694,4000.804,3791.906,3870.074,3426.912,3034.285,3011.437,3158.610,2680.042,3073.735,3033.858,2618.634,2529.311,2439.220,2331.973,2540.482,2157.656,2198.400,2142.531,2152.329,2467.704,1981.985,2594.116,2514.643,2350.630,2685.201,2750.944,2288.381,2654.697,2437.640,2953.720,2624.442,2915.804,2712.884,2764.590,2664.756,2508.582,2343.850,1964.865,2132.067,2120.483,1889.557,1623.158,1629.519,1624.823,1316.252,1161.348,882.093,1020.291,926.479,651.920,521.432,575.054,419.783,429.976,330.050,374.563,321.875,248.190,224.222,200.799,203.849,164.740,153.365,70.815,71.959,58.509,44.364,30.075,30.591,46.689,15.840,0.000,16.324,16.630,0.000,0.000,17.620,0.000,18.223,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.07,9672.77, 13.3,749.9,1.000,3.97,7.43,760.6,ON,47.626,70.669,54.278,32.197,2.029,3.083154e+003,Long Term E,MASIN,,,optics,,Normal Scan,
4,15/7/2020,18:23:29,26.0,100.7,43.7,6.85736e-008,1.84674e-005,,0.000,40.180,38.597,260.414,179.282,380.160,1148.026,1078.333,1117.202,1501.824,1937.582,2309.297,2895.799,3192.969,3081.995,3559.030,4139.067,4456.562,4583.886,4969.898,4551.137,4565.906,4794.473,4398.345,4545.575,4443.611,4407.132,3693.065,3775.230,3544.074,3492.124,2931.873,3386.961,2991.155,2965.643,2764.138,2604.815,2514.447,1940.927,2169.649,1938.898,1991.609,1967.353,2212.721,2071.160,2055.407,1833.614,2243.372,2703.257,2324.699,2241.252,1991.813,2032.165,2873.906,2433.603,2616.685,2528.060,2564.472,2243.882,2196.219,2335.293,2283.101,2262.296,2138.348,1969.791,1729.810,1878.560,1480.601,1464.554,1363.074,1214.433,1109.230,968.324,915.464,660.403,747.889,668.090,594.285,367.106,506.280,436.158,308.593,441.078,373.415,261.281,158.293,254.381,83.054,122.047,97.606,113.318,86.358,43.887,29.580,30.079,0.000,0.000,15.842,0.000,32.652,33.263,0.000,0.000,0.000,0.000,18.225,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.340,0.00,10.06,9670.17, 13.3,749.9,1.000,3.97,7.43,760.5,ON,45.137,68.545,52.806,27.881,2.007,2.906415e+003,Long Term E,MASIN,,,optics,,Normal Scan,
5,15/7/2020,18:28:59,26.0,100.8,43.8,6.85055e-008,1.84674e-005,,0.000,0.000,38.479,357.982,324.009,561.049,996.327,1736.405,2067.699,2511.558,2655.533,3827.875,3318.711,3731.953,4466.448,4321.519,3557.669,4988.875,5423.005,5160.749,4996.174,5507.924,5833.523,5251.685,5408.827,5553.436,4870.931,4956.389,4426.403,4138.606,4068.212,4389.896,3591.304,3686.838,3399.970,3423.593,3201.988,3144.121,2936.613,3005.792,2910.091,2742.823,2817.848,2640.169,2956.468,2801.093,2793.181,2712.311,2500.960,3051.244,2906.167,3068.618,2757.576,2825.074,2728.174,2927.110,3044.305,2872.872,2634.497,2444.255,2697.463,2510.974,2420.161,2186.395,1765.982,2009.082,1671.666,1534.641,1591.465,1125.336,1190.114,1197.301,996.185,929.230,766.814,768.991,597.415,549.110,365.994,566.302,372.702,390.533,312.938,288.483,272.450,223.564,213.556,216.798,150.565,166.813,70.607,86.094,78.165,97.912,29.986,30.501,31.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.551,18.814,0.000,19.507,0.000,300,8,50,1,3.000,0.341,0.00,10.07,9671.79, 13.3,749.9,1.000,3.97,7.43,759.4,ON,44.526,65.793,51.162,31.059,1.975,3.476611e+003,Long Term E,MASIN,,,optics,,Normal Scan,
6,15/7/2020,18:34:30,26.0,100.8,44.2,6.85055e-008,1.84674e-005,,83.567,0.000,38.479,0.000,357.475,516.841,729.311,1123.196,1113.805,1674.346,2164.802,2653.135,3144.703,3030.884,4423.346,5148.048,4708.065,4097.905,5133.890,5190.892,4883.682,5580.840,5556.148,5144.792,4963.234,5580.765,4556.806,4641.134,5004.135,4630.819,4538.043,3752.949,4074.474,3336.291,2701.234,3238.240,2911.915,2740.228,3053.181,2960.064,2618.426,2367.828,2784.398,2851.588,2748.894,2913.011,2566.018,2205.799,2962.606,2737.831,2578.702,2706.105,2884.561,2900.614,2658.358,2256.726,2820.623,2476.145,2520.342,2602.215,2145.812,2389.186,2266.126,2148.582,2382.585,1782.148,1590.762,1638.299,1751.566,1228.692,1284.859,1187.567,1167.797,883.564,916.899,761.941,551.253,586.175,604.113,430.862,472.078,327.545,292.471,333.766,207.093,211.719,120.125,121.949,123.191,27.802,98.851,57.396,43.752,44.233,29.986,30.501,46.552,31.587,0.000,0.000,16.581,0.000,0.000,0.000,0.000,0.000,18.551,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.07,9671.54, 13.3,749.9,1.000,3.97,7.43,759.4,ON,44.579,66.439,51.932,29.961,1.963,3.323390e+003,Long Term E,MASIN,,,optics,,Normal Scan,
7,15/7/2020,18:39:59,26.1,100.8,44.7,6.85346e-008,1.84721e-005,,0.000,0.000,0.000,111.270,345.953,390.134,1062.802,1282.220,1577.999,2394.175,2461.193,2839.339,2683.554,3187.870,4116.655,4001.069,4258.101,4716.692,4742.152,5059.578,5062.155,5997.879,5866.349,4856.001,5572.834,5137.476,4512.549,4804.850,4582.872,4210.657,4104.405,3681.083,3416.689,2853.254,2520.297,2839.915,2866.229,2711.947,2310.416,2495.941,2420.785,2586.649,2384.950,2139.115,2266.501,2168.696,2544.445,2365.368,2329.282,2581.495,2563.117,2175.650,2459.724,2387.684,2261.847,2829.980,2279.536,2334.773,2758.914,2738.978,2162.660,2448.950,2346.272,2339.653,2185.155,2282.781,1809.215,1446.516,1486.789,1832.075,1482.204,1477.517,961.483,868.306,863.076,784.077,736.659,700.129,597.236,537.721,621.193,453.559,403.379,363.054,234.444,170.972,160.175,257.461,68.442,97.315,70.611,71.748,29.170,58.981,29.988,40.671,82.762,15.794,0.000,16.277,16.582,16.898,0.000,0.000,0.000,0.000,18.552,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.07,9673.34, 13.3,749.9,1.000,3.97,7.43,759.5,ON,43.642,67.970,52.151,29.961,2.011,3.232165e+003,Long Term E,MASIN,,,optics,,Normal Scan,
8,15/7/2020,18:45:29,26.1,100.8,45.1,6.85346e-008,1.84721e-005,,0.000,40.059,38.481,245.526,120.841,654.676,811.337,1364.677,1670.791,2003.337,2674.985,2730.821,3033.267,3596.125,4377.581,4459.269,4682.874,4502.972,4615.369,5931.893,6076.271,6045.761,5809.020,5436.547,5517.448,6139.556,5443.557,4975.509,4716.628,4464.346,4163.142,3622.726,3401.065,3463.338,3467.257,3109.562,2948.712,2584.286,2980.413,2368.852,2386.023,2420.143,2270.823,2303.853,2522.128,2197.831,2363.504,2068.321,2317.624,1900.523,2321.865,2664.924,2424.804,2298.982,2307.821,2409.533,2656.983,2569.884,2667.129,2250.260,2457.076,2407.257,2429.568,2258.446,2415.154,2463.097,2175.577,1877.638,1876.406,1538.775,1429.960,1114.698,1109.361,1262.720,1033.978,1047.871,759.711,826.686,658.240,550.034,621.211,579.542,419.656,372.337,390.698,210.424,320.356,176.158,164.260,180.723,159.443,81.935,116.680,73.726,59.976,15.251,31.036,31.589,0.000,48.831,16.582,0.000,17.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.07,9673.34, 13.3,749.9,1.000,3.97,7.43,759.5,ON,43.180,68.529,52.102,34.599,2.027,3.396746e+003,Long Term E,MASIN,,,optics,,Normal Scan,
9,15/7/2020,18:50:59,26.1,100.8,45.3,6.85346e-008,1.84721e-005,,41.785,0.000,38.481,111.270,250.240,723.582,830.319,1602.799,1907.849,1955.846,2374.606,3159.135,3071.287,4077.760,4508.490,4771.171,5345.617,5609.437,6206.604,6007.496,5912.661,6349.213,5836.087,6377.617,6083.515,5447.561,5992.392,5501.536,4686.155,4010.666,4011.499,4244.308,3143.640,3276.626,3303.859,3033.665,2693.034,2567.283,2399.983,2576.092,2563.773,2113.922,2441.352,2099.816,2209.185,2213.334,2145.082,2330.105,2131.459,1985.011,2379.660,2570.878,2525.912,2152.980,2516.882,2194.005,2567.735,2608.759,2610.064,2191.620,2254.265,2244.480,2278.127,2209.280,2121.183,1930.723,1925.444,1449.876,1639.122,1217.959,1279.246,1099.989,1179.527,903.031,657.756,765.008,563.282,640.851,369.925,340.739,372.707,340.159,279.774,346.620,234.445,208.499,162.130,121.956,205.325,41.704,98.855,71.748,87.509,29.491,29.988,15.251,31.036,31.589,32.162,16.277,0.000,0.000,0.000,17.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.341,0.00,10.07,9673.34, 13.3,749.9,1.000,3.97,7.43,759.5,ON,40.481,63.582,49.138,32.197,1.975,3.381833e+003,Long Term E,MASIN,,,optics,,Normal Scan,
