Sample File,C:\Users\fvanden\Documents\AIMdata\PenleeData\Penlee2019.4.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001411001   ,Classifier Firmware Version,2.00
Neutralizer Model,3088,Neutralizer S/N,3088011506003
Impactor (cm),0.0457,Impactor S/N,4570147
DMA Model,3081,DMA S/N,3081A1411001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,22/11/2019,12:03:11,16.0,98.6,52.0,6.70677e-008,1.79884e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,0.000,1.000,2.000,1.000,1.000,0.000,0.000,2.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,2.000,1.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,50,8,50,1,15.000,0.296,0.00,10.19,9773.99,6.04,220.7,1.000,3.99,1.62,679.3,ON,54.589,68.455,60.626,35.866,1.639,2.217876e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
2,22/11/2019,12:04:31,15.9,98.6,52.2,6.70381e-008,1.79836e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.528,0.472,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.293,0.00,10.19,9773.35,6.04,220.7,1.000,3.99,1.62,683.1,ON,41.475,57.150,49.406,26.896,1.663,9.473432e+001,,Test,,,PenleePoint,,Detector aerosol flow rate error,
3,22/11/2019,12:05:51,15.9,98.6,52.3,6.70381e-008,1.79836e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,2.000,1.000,0.000,0.000,2.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,50,8,50,1,15.000,0.295,0.00,10.19,9773.57,6.04,220.7,1.000,3.99,1.62,680.6,ON,55.310,62.527,46.751,16.253,2.197,2.238366e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
4,22/11/2019,12:07:11,15.9,98.6,52.5,6.70381e-008,1.79836e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,2.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,50,8,50,1,15.000,0.294,0.00,10.19,9773.42,6.04,220.7,1.000,3.99,1.62,681.8,ON,65.577,76.023,63.064,21.674,1.875,1.644984e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
5,22/11/2019,12:08:31,15.8,98.6,52.7,6.70085e-008,1.79787e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.853,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,1.000,0.000,50,8,50,1,15.000,0.295,0.00,10.19,9772.93,6.04,220.7,1.000,3.99,1.62,680.5,ON,69.716,81.791,66.009,21.674,1.996,1.393536e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
6,22/11/2019,12:09:51,15.8,98.5,52.8,6.70765e-008,1.79787e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4.000,3.000,3.000,0.000,4.001,4.000,10.001,4.001,10.001,7.001,14.002,13.002,14.425,21.298,23.220,31.071,23.004,32.070,37.856,54.100,34.723,57.676,48.862,50.762,55.973,53.405,43.866,51.546,43.440,41.444,38.535,34.897,26.800,29.564,23.900,12.754,9.793,14.211,7.001,6.001,0.000,3.000,2.000,2.178,58.863,6.668,0.332,2.000,2.000,2.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,1.428,0.573,50,8,50,1,15.000,0.293,0.00,10.18,9768.12,6.04,220.7,1.000,3.99,1.62,683.0,ON,37.765,40.589,38.107,35.866,1.415,1.052159e+004,,Test,,,PenleePoint,,Detector aerosol flow rate error,
7,22/11/2019,12:11:11,15.9,98.6,52.9,6.70381e-008,1.79836e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,2.000,2.000,1.000,0.000,3.000,0.000,2.000,3.000,1.000,0.000,0.000,4.001,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.293,0.00,10.19,9773.57,6.04,220.7,1.000,3.99,1.62,683.1,ON,49.399,53.218,47.788,59.352,1.609,3.085731e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
8,22/11/2019,12:12:31,15.9,98.6,53.0,6.70381e-008,1.79836e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.286,2.714,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,50,8,50,1,15.000,0.294,0.00,10.19,9773.57,6.04,220.7,1.000,3.99,1.62,681.8,ON,54.690,59.619,47.896,55.232,1.937,1.750149e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
9,22/11/2019,12:13:51,15.7,98.5,53.2,6.70469e-008,1.79739e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,16.218,14.794,3.000,3.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,50,8,50,1,15.000,0.294,0.00,10.18,9767.63,6.04,220.7,1.000,3.99,1.62,681.6,ON,89.127,80.752,72.415,88.168,1.712,4.036630e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
10,22/11/2019,12:15:11,15.6,98.5,53.3,6.70173e-008,1.79691e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.745,0.256,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.295,0.00,10.18,9767.07,6.04,220.7,1.000,3.99,1.62,680.3,ON,43.710,53.924,49.497,42.935,1.514,1.409493e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
