Sample File,C:\Users\fvanden\Documents\AIMdata\PenleeData\Penlee2019_Dec11.3.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001411001   ,Classifier Firmware Version,2.00
Neutralizer Model,3088,Neutralizer S/N,3088011506003
Impactor (cm),0.0457,Impactor S/N,4570147
DMA Model,3081,DMA S/N,3081A1411001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,11/12/2019,14:55:45,17.1,100.0,48.5,6.64499e-008,1.80415e-005,,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.488,0.512,1.980,0.020,1.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,3.000,0.162,2.839,2.000,0.000,0.000,2.000,0.000,2.000,4.001,0.000,1.000,4.000,0.000,1.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,50,8,50,1,15.000,0.309,0.00,10.31,9845.24,6.04,220.7,1.000,3.98,1.62,665.1,ON,65.085,63.566,44.026,6.378,2.776,3.554731e+002,,Test,,,,,Detector aerosol flow rate error,
2,11/12/2019,14:57:04,17.1,99.9,48.5,6.65164e-008,1.80415e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.783,0.217,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.178,0.823,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,1.000,1.000,1.759,1.241,3.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,2.000,0.000,1.744,0.256,5.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,50,8,50,1,15.000,0.309,0.00,10.30,9840.49,6.04,220.7,1.000,3.98,1.62,665.1,ON,93.613,100.417,80.245,168.485,2.102,2.626442e+002,,Test,,,,,Detector aerosol flow rate error,
3,11/12/2019,14:58:24,17.2,99.9,48.5,6.65456e-008,1.80463e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9841.06,6.04,220.7,1.000,3.98,1.62,665.1,ON,65.856,64.991,44.595,9.140,2.731,1.421296e+002,,Test,,,,,Detector aerosol flow rate error,
4,11/12/2019,14:59:43,17.2,100.0,48.5,6.64791e-008,1.80463e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,2.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3.000,2.000,0.000,2.000,1.000,0.000,0.000,2.000,0.000,3.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.31,9845.74,6.04,220.7,1.000,3.98,1.62,665.2,ON,92.504,98.897,91.135,91.398,1.498,1.964122e+002,,Test,,,,,Detector aerosol flow rate error,
5,11/12/2019,15:01:04,17.2,99.9,48.5,6.65456e-008,1.80463e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.750,0.250,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.917,0.083,2.000,1.000,0.000,1.000,0.000,1.000,1.066,1.934,2.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9841.06,6.04,220.7,1.000,3.98,1.62,665.1,ON,100.316,97.732,84.458,35.866,1.763,1.992779e+002,,Test,,,,,Detector aerosol flow rate error,
6,11/12/2019,15:02:24,17.2,99.9,48.5,6.65456e-008,1.80463e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,2.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,1.000,2.000,0.000,1.000,6.310,2.691,0.000,1.000,0.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9841.06,6.04,220.7,1.000,3.98,1.62,665.1,ON,89.060,89.116,77.410,98.217,1.748,2.558927e+002,,Test,,,,,Detector aerosol flow rate error,
7,11/12/2019,15:03:44,17.3,100.0,48.5,6.65083e-008,1.80511e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,2.000,0.000,3.377,2.111,2.513,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.000,2.000,0.000,0.000,1.000,3.000,0.000,1.000,0.000,0.008,2.992,1.000,0.000,0.000,0.000,3.000,2.000,0.000,0.000,1.000,2.000,2.000,0.000,1.000,0.000,0.000,0.000,1.000,50,8,50,1,15.000,0.309,0.00,10.31,9846.32,6.04,220.7,1.000,3.98,1.62,665.3,ON,81.650,93.597,82.632,57.255,1.650,2.902595e+002,,Test,,,,,Detector aerosol flow rate error,
8,11/12/2019,15:05:04,17.3,99.9,48.4,6.65749e-008,1.80511e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,1.000,1.000,1.000,1.000,2.000,1.000,3.000,3.000,1.000,1.000,4.000,0.487,0.513,0.000,2.000,0.000,1.000,1.000,4.000,1.735,2.227,2.039,3.000,2.000,3.000,1.051,2.391,0.558,1.000,3.000,0.000,0.000,0.000,0.946,0.054,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9841.63,6.04,220.7,1.000,3.98,1.62,665.2,ON,90.399,93.247,84.826,79.148,1.593,3.620530e+002,,Test,,,,,Detector aerosol flow rate error,
9,11/12/2019,15:06:24,17.3,100.0,48.3,6.65083e-008,1.80511e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,1.000,2.000,0.000,0.000,0.000,0.000,2.000,3.000,2.000,3.000,2.377,3.624,2.000,9.468,0.863,3.671,4.000,3.000,1.000,5.000,2.000,5.001,1.000,3.000,4.001,4.000,7.947,6.055,7.001,0.000,5.101,4.900,3.000,3.000,1.000,1.000,2.000,3.000,4.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,2.000,1.000,50,8,50,1,15.000,0.309,0.00,10.31,9846.32,6.04,220.7,1.000,3.98,1.62,665.3,ON,85.860,92.355,84.672,63.780,1.523,8.121274e+002,,Test,,,,,Detector aerosol flow rate error,
