stn,time,tre200dx,tre200dn,tre200j0
CGI,19970101,-2.3,-5.1,-3.1
CGI,19970102,0.2,-3.5,-1.1
CGI,19970103,-0.5,-4.8,-2.4
CGI,19970104,1.3,-1.5,0.4
CGI,19970105,0.4,-2.0,-0.7
CGI,19970106,1.0,-2.1,0.3
CGI,19970107,0.7,-1.1,0.1
CGI,19970108,-0.8,-2.2,-1.3
CGI,19970109,1.6,-0.9,0.7
CGI,19970110,3.8,-1.7,2.6
CGI,19970111,2.5,-1.5,1.7
CGI,19970112,0.3,-7.3,-1.5
CGI,19970113,-2.3,-7.3,-3.1
CGI,19970114,-2.2,-4.9,-3.3
CGI,19970115,-1.9,-3.4,-2.6
CGI,19970116,-2.5,-4.6,-3.5
CGI,19970117,-1.7,-4.7,-3.3
CGI,19970118,0.8,-2.3,-0.5
CGI,19970119,2.7,-0.6,1.1
CGI,19970120,3.7,1.1,2.7
CGI,19970121,5.2,1.9,3.8
CGI,19970122,3.2,0.9,2.5
CGI,19970123,4.9,2.4,4.0
CGI,19970124,4.8,1.9,3.5
CGI,19970125,3.5,1.5,2.5
CGI,19970126,4.0,2.5,3.3
CGI,19970127,3.9,2.0,2.9
CGI,19970128,4.2,1.8,3.3
CGI,19970129,3.9,1.1,3.0
CGI,19970130,2.3,-0.8,1.2
CGI,19970131,1.6,-1.1,0.3
CGI,19970201,0.9,-1.4,-0.2
CGI,19970202,0.3,-2.5,-1.1
CGI,19970203,0.0,-2.1,-1.2
CGI,19970204,0.6,-1.8,-0.8
CGI,19970205,6.2,0.1,4.3
CGI,19970206,6.8,-1.4,4.5
CGI,19970207,7.2,-2.4,3.5
CGI,19970208,9.1,-2.3,4.6
CGI,19970209,8.3,-2.0,4.4
CGI,19970210,11.7,-2.6,6.0
CGI,19970211,13.1,7.2,10.1
CGI,19970212,12.2,7.9,10.5
CGI,19970213,9.8,4.7,7.6
CGI,19970214,9.6,0.9,5.6
CGI,19970215,8.1,1.6,6.1
CGI,19970216,5.4,-0.7,3.4
CGI,19970217,10.3,-0.3,6.0
CGI,19970218,8.0,2.6,6.6
CGI,19970219,8.3,2.4,5.7
CGI,19970220,12.4,3.0,9.7
CGI,19970221,12.2,0.4,8.5
CGI,19970222,11.4,0.4,7.3
