Sample File,C:\Users\fvanden\Documents\AIMdata\LongTerm.4.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,12/6/2020,12:26:00,25.3,99.7,49.8,6.90556e-008,1.84341e-005,,26.003,19.002,24.003,28.215,26.791,28.003,26.003,32.004,28.003,42.005,26.658,27.348,40.005,37.005,48.007,35.004,39.005,47.006,55.143,65.873,47.249,61.766,62.418,69.599,62.008,58.747,72.271,60.230,84.300,79.465,76.169,108.739,95.901,107.285,110.017,124.951,128.407,134.986,154.748,156.755,160.757,146.575,165.032,145.028,140.789,170.267,170.614,163.405,183.390,188.455,166.315,195.822,188.714,196.536,222.557,248.310,201.832,268.929,252.949,245.813,272.180,267.306,327.907,275.382,295.148,294.815,272.876,300.237,265.725,232.261,265.046,266.105,246.727,220.398,218.649,208.455,169.786,177.292,122.023,131.028,116.932,100.109,119.024,115.356,84.262,73.430,50.514,58.502,47.452,57.564,35.004,41.005,22.003,23.003,20.002,19.002,6.001,6.001,13.002,4.000,3.000,4.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.373,0.00,11.54,9603.59, 14.3,749.9,1.000,3.93,7.36,721.6,ON,105.885,123.006,92.181,135.773,2.256,2.299968e+003,Long Term,MASIN,,,,,Normal Scan,
2,12/6/2020,12:31:29,25.3,99.8,49.6,6.89864e-008,1.84341e-005,,9.001,3.000,0.000,3.000,3.000,7.001,9.001,6.001,10.001,11.002,13.001,13.001,14.002,13.001,15.002,20.002,21.002,26.003,22.002,18.002,25.003,30.003,33.004,38.005,40.005,43.005,36.026,51.986,68.009,68.009,75.330,77.690,72.396,104.618,96.028,103.015,106.018,114.259,124.783,116.020,130.023,133.213,140.567,157.560,143.766,148.353,135.720,170.020,159.434,168.547,182.124,206.021,207.001,206.550,216.359,249.032,236.637,252.200,282.666,314.655,293.531,268.237,293.182,302.425,281.967,327.566,258.673,291.585,279.813,261.304,273.524,235.414,224.958,221.529,210.969,160.408,176.541,139.570,125.579,139.619,123.224,111.143,96.484,91.116,89.478,73.011,46.554,57.242,44.223,30.004,29.407,38.602,22.288,19.717,21.002,7.001,14.001,9.001,4.001,6.001,7.001,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.54,9618.35, 14.3,749.9,1.000,3.93,7.47,782.3,ON,120.391,134.587,109.427,151.247,1.973,2.304634e+003,Long Term,MASIN,,,,,Normal Scan,
3,12/6/2020,12:36:59,25.5,99.8,49.9,6.90451e-008,1.84436e-005,,4.000,2.000,1.000,0.000,2.000,2.000,4.000,2.000,7.001,11.001,6.001,10.001,15.002,14.002,14.001,11.001,15.002,22.003,25.682,29.324,35.004,34.004,42.727,45.284,47.767,43.244,48.716,48.544,73.764,62.400,72.594,76.034,82.116,68.529,105.153,119.760,120.178,129.364,143.817,114.639,141.616,147.812,141.568,143.389,154.163,167.207,155.221,164.540,155.320,180.551,175.901,175.670,200.121,202.970,212.049,223.053,226.055,259.159,230.972,265.871,266.540,282.775,283.028,294.141,322.274,297.215,295.449,318.199,254.922,291.057,265.699,249.422,235.451,215.802,209.173,208.778,175.554,192.602,159.313,174.644,132.674,111.920,112.136,118.684,112.247,80.322,59.699,47.006,50.007,51.006,36.641,30.599,23.771,21.442,14.562,15.221,7.781,9.001,9.001,7.001,4.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.52,9634.09, 14.3,749.9,1.000,3.93,7.47,782.5,ON,123.545,138.091,112.422,145.902,1.963,2.356884e+003,Long Term,MASIN,,,,,Normal Scan,
4,12/6/2020,12:42:29,25.5,99.8,50.1,6.90451e-008,1.84436e-005,,5.001,5.001,2.000,1.000,0.000,3.000,7.001,6.001,3.000,10.001,10.001,10.001,11.001,15.002,21.002,21.002,12.001,24.003,31.004,28.202,35.806,30.003,34.004,45.296,38.715,41.005,58.007,45.006,78.011,63.009,69.010,77.155,80.868,99.668,105.365,113.877,101.157,128.022,142.157,114.168,139.744,138.023,126.022,155.028,136.025,148.030,136.101,156.749,143.977,179.295,178.353,185.238,173.548,195.850,195.126,206.913,224.964,237.678,264.432,253.984,275.646,276.437,298.410,272.652,264.767,302.186,256.750,233.187,220.054,232.312,190.438,241.388,186.947,172.163,164.782,161.288,139.754,124.294,110.019,94.445,97.741,95.860,94.089,77.308,64.642,45.006,56.008,51.662,53.353,48.006,38.005,20.221,24.785,16.002,13.001,10.210,13.792,4.001,7.001,2.000,4.000,2.000,1.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.52,9634.09, 14.3,749.9,1.000,3.93,7.47,781.1,ON,115.689,130.477,105.516,151.247,1.976,2.134776e+003,Long Term,MASIN,,,,,Normal Scan,
5,12/6/2020,12:47:59,25.6,99.8,50.1,6.90745e-008,1.84484e-005,,5.001,0.000,0.000,1.000,1.000,1.000,5.001,2.000,7.001,7.001,7.001,4.000,13.002,15.002,12.066,15.937,21.002,17.002,18.564,23.440,20.002,15.002,27.588,29.419,34.004,47.006,45.005,45.006,51.321,48.916,73.786,73.053,76.893,107.533,107.150,113.755,122.708,122.561,138.490,124.031,137.550,144.072,191.706,147.776,160.652,165.955,187.388,193.157,184.825,186.551,176.903,230.896,238.936,226.863,248.910,251.758,235.841,292.093,254.581,307.294,283.449,297.225,304.536,297.495,338.944,275.105,311.218,282.462,278.340,284.396,266.130,248.390,253.467,220.477,191.497,197.664,168.411,171.579,155.355,124.882,111.682,108.999,93.449,70.516,89.075,66.011,58.008,57.624,52.391,34.004,35.006,29.197,23.809,17.691,14.313,17.197,16.807,12.001,10.001,3.000,3.000,3.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.52,9635.64, 14.3,749.9,1.000,3.93,7.47,782.6,ON,120.385,135.710,112.206,145.902,1.901,2.367973e+003,Long Term,MASIN,,,,,Normal Scan,
6,12/6/2020,12:53:29,25.7,99.8,50.0,6.91039e-008,1.84531e-005,,4.000,1.000,1.000,2.000,2.000,0.000,1.000,1.000,4.000,4.000,6.001,6.001,5.001,5.001,11.001,9.001,9.001,12.001,12.002,15.002,22.417,15.587,20.002,21.002,34.004,44.581,35.429,28.003,45.155,63.858,65.641,78.378,68.757,91.266,103.407,95.624,111.021,115.715,118.132,110.020,148.219,129.406,129.484,152.184,140.028,141.363,150.691,155.468,161.598,149.028,171.034,190.197,165.883,229.484,214.874,233.711,220.133,244.679,261.096,248.417,258.762,272.236,280.509,284.466,308.804,253.871,277.779,308.349,287.215,270.906,272.732,221.549,226.457,213.624,230.908,185.003,166.550,181.733,150.814,137.029,122.023,126.028,113.419,93.621,64.011,73.011,66.010,58.569,49.446,34.510,32.732,29.771,30.004,21.002,12.279,15.724,16.002,9.001,7.001,3.000,4.000,7.001,4.001,1.000,2.000,3.000,1.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.51,9637.67, 14.3,749.9,1.000,3.93,7.47,782.6,ON,126.542,141.882,117.590,162.531,1.893,2.192204e+003,Long Term,MASIN,,,,,Normal Scan,
7,12/6/2020,12:58:59,25.9,99.8,49.9,6.91626e-008,1.84626e-005,,6.147,0.000,1.000,0.000,2.000,4.000,6.001,6.001,5.001,7.001,9.001,11.001,14.002,15.002,14.002,13.002,11.001,25.002,16.002,27.713,33.294,33.004,23.090,35.916,35.097,41.913,53.006,49.592,59.423,56.008,84.654,77.370,90.963,84.886,103.092,113.119,134.020,126.021,128.373,134.025,125.549,149.149,126.936,148.112,154.028,142.896,161.161,148.997,144.172,171.548,150.390,194.052,217.474,200.669,208.346,238.175,233.650,240.753,258.110,268.391,261.935,277.177,340.741,254.380,313.922,297.114,290.329,285.382,274.548,285.448,239.847,265.936,273.587,216.040,231.708,201.555,173.477,169.594,162.961,142.610,148.029,127.026,94.231,94.866,93.953,91.013,70.347,63.671,52.514,49.502,46.140,34.871,28.003,20.003,15.002,14.002,9.001,11.001,7.001,9.001,4.000,3.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.51,9641.25, 14.3,749.9,1.000,3.93,7.47,781.5,ON,124.328,139.378,113.498,135.773,1.962,2.334013e+003,Long Term,MASIN,,,,,Normal Scan,
8,12/6/2020,13:04:29,26.0,99.8,49.8,6.91919e-008,1.84674e-005,,4.000,5.001,6.001,0.000,1.000,2.000,2.000,3.000,9.001,8.001,13.002,8.001,14.001,19.002,14.001,13.001,14.002,24.002,17.002,20.002,32.004,28.003,32.004,36.005,54.366,53.648,47.006,47.006,53.977,65.899,71.571,71.589,97.014,102.015,109.135,106.739,130.182,125.020,124.996,157.058,137.028,150.092,136.956,146.600,154.457,122.021,191.041,148.027,183.406,175.747,190.515,181.236,184.287,216.053,239.380,236.247,258.663,226.685,248.120,285.570,250.828,322.129,277.752,310.943,308.399,292.659,315.192,257.951,268.608,283.610,250.310,233.291,240.196,224.387,239.932,184.539,212.583,184.744,147.357,155.774,151.967,115.402,113.642,86.295,91.733,79.014,68.206,73.275,53.411,40.141,40.005,29.004,22.002,22.002,27.003,12.001,17.002,14.001,2.000,9.001,6.001,5.001,2.000,3.000,0.000,1.000,1.000,0.000,0.000,0.000,300,8,50,1,3.000,0.318,0.00,11.51,9642.80, 14.3,749.9,1.000,3.93,7.48,788.2,ON,122.625,138.484,112.401,130.975,1.970,2.412139e+003,Long Term,MASIN,,,,,Normal Scan,
9,12/6/2020,13:09:59,26.1,99.8,49.6,6.92213e-008,1.84721e-005,,2.000,0.000,1.000,0.000,1.000,0.000,2.000,1.000,3.000,6.001,7.001,8.001,10.001,16.002,13.001,6.001,14.001,20.002,17.002,22.002,13.001,25.940,32.066,31.004,54.007,41.005,29.003,41.214,63.217,69.591,68.011,67.009,91.976,88.052,102.016,111.624,103.646,132.806,137.965,146.026,157.037,158.104,185.052,182.050,149.501,162.951,175.185,195.551,194.626,192.339,165.033,224.342,203.563,200.862,226.150,261.352,250.398,271.231,263.586,286.806,278.466,264.619,310.469,307.372,275.212,302.839,308.108,291.891,264.321,279.840,256.869,280.946,270.506,235.042,228.011,218.095,173.060,194.615,181.644,158.668,125.704,129.759,109.756,107.019,88.874,83.052,63.110,49.327,41.685,53.008,45.055,36.943,35.018,26.003,15.002,13.002,14.001,9.001,9.001,8.001,3.000,0.000,1.000,0.000,1.000,2.000,2.000,0.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.51,9645.80, 14.3,749.9,1.000,3.93,7.47,781.6,ON,123.085,139.657,115.218,135.773,1.906,2.403429e+003,Long Term,MASIN,,,,,Normal Scan,
