Sample File,F:\OpticsRoomData\long+short\Short.3.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001411001   ,Classifier Firmware Version,2.00
Neutralizer Model,3088,Neutralizer S/N,3088011506003
Impactor (cm),0.0508,Impactor S/N,5080459
DMA Model,3085,DMA S/N,3085A1604001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.905
DMA Characteristic Length (cm),4.987
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),4.45,4.61,4.78,4.96,5.14,5.33,5.52,5.73,5.94,6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,12/6/2020,12:26:02,25.0,99.7,47.3,6.89675e-008,1.84198e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,716.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487.484,467.923,0.000,0.000,0.000,395.390,1136.615,363.677,0.000,1005.866,0.000,927.726,593.733,1141.772,1097.614,1055.034,1015.633,977.600,705.714,226.738,2403.904,1895.720,1015.161,1371.708,2269.686,1827.807,1940.968,1536.517,2145.282,1120.003,1847.482,1197.708,728.487,2532.010,1919.608,928.548,1027.724,2509.893,1339.164,1300.277,809.798,1002.334,447.629,858.352,2090.719,917.241,1200.394,976.297,953.387,1311.625,1923.068,1530.836,2125.756,1906.976,1876.846,2015.609,1819.320,1954.736,1765.169,1581.152,3358.349,2653.738,2396.853,2411.542,2015.805,2018.900,2085.542,1506.896,2533.107,2072.827,2506.387,2736.011,2744.541,3222.662,2466.319,2866.913,3562.531,2443.776,3261.609,3247.609,3343.093,3329.050,4116.225,2668.298,4723.711,300,6,50,1,3.000,0.335,0.00,10.12,9787.09,4.37,165.5,1.000,2.98,0.775,765.2,ON,64.438,71.743,53.868,162.531,2.285,2.258313e+003,Short,MASIN,,,,,Normal Scan,
2,12/6/2020,12:31:31,25.0,99.7,47.5,6.89675e-008,1.84198e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1317.093,0.000,2410.573,579.130,553.603,530.231,2543.757,1949.937,4211.308,3131.839,3867.651,4935.976,2372.341,7198.561,4727.805,3140.162,4694.043,1928.537,2783.178,2671.800,2283.544,3018.438,2637.586,2792.990,2688.400,1176.191,906.951,1966.831,631.907,1218.194,391.916,1323.984,731.123,352.903,512.172,495.065,1120.003,615.827,598.854,291.395,844.003,685.574,265.299,642.328,752.968,486.969,709.242,1041.169,1114.821,994.935,1180.233,1149.896,1324.903,800.263,1562.075,2288.128,843.187,1190.471,2431.328,1682.891,1386.892,1876.846,2015.621,1736.636,1466.052,2246.579,1897.382,2649.079,1581.396,2650.748,2160.030,2538.421,3049.810,1640.474,2167.801,2753.232,1745.093,2168.387,1938.309,2715.031,2452.018,3024.277,3494.484,3368.727,2359.907,2496.407,2985.297,3399.081,3390.622,3768.321,2993.856,4054.800,300,6,50,1,3.000,0.335,0.00,10.12,9787.09,4.37,165.5,1.000,2.98,0.775,765.2,ON,39.859,55.924,33.610,9.822,2.945,2.866627e+003,Short,MASIN,,,,,Normal Scan,
3,12/6/2020,12:37:01,25.0,99.7,48.1,6.89675e-008,1.84198e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,658.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,859.478,411.331,0.000,0.000,727.355,0.000,670.578,964.268,309.242,296.867,570.886,274.403,527.517,507.816,977.600,705.714,0.000,1092.684,842.542,1421.226,979.791,945.703,1462.245,1411.613,1877.965,990.130,960.003,923.741,449.141,874.184,562.669,548.459,1326.497,513.862,1505.936,852.195,827.449,1156.855,899.901,1727.720,774.248,1463.504,1324.903,1000.328,1073.926,1239.403,1499.000,2106.217,1800.984,1771.464,1603.236,2175.787,1175.772,1736.623,2524.880,2868.736,2786.461,2501.298,2847.174,2814.765,2533.485,2268.308,2577.257,2480.819,2251.500,2735.072,2568.010,3003.472,3372.226,2603.796,2802.306,3068.774,2888.614,3649.931,4095.144,4302.572,4010.807,3551.221,3606.471,4874.727,5639.659,3635.339,300,6,50,1,3.000,0.335,0.00,10.12,9787.09,4.37,165.5,1.000,2.98,0.775,765.2,ON,76.529,80.925,64.136,156.788,2.148,2.222224e+003,Short,MASIN,,,,,Normal Scan,
4,12/6/2020,12:42:31,25.1,99.7,48.7,6.89969e-008,1.84246e-005,,966.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,553.617,530.244,0.000,487.496,0.000,0.000,0.000,0.000,790.800,757.762,0.000,1046.747,335.297,642.862,309.250,890.622,570.900,823.231,1846.356,761.744,488.812,1176.220,453.487,874.169,210.641,812.150,1371.742,378.291,365.570,882.280,1707.284,1320.207,1280.036,1077.725,1048.021,874.206,844.025,411.355,1061.224,770.813,250.996,1339.198,1182.100,809.819,1012.414,1313.567,1180.264,1568.080,917.264,400.142,1269.218,1430.117,1499.038,1007.347,1440.838,1682.934,1473.610,1279.701,1259.801,2398.257,2825.600,1388.787,2450.849,1869.990,1774.875,2526.803,2244.773,2090.519,2135.498,1808.933,2821.856,1969.102,2354.062,2073.912,1917.803,2158.131,2689.977,3689.434,3704.212,2868.823,2326.049,3452.835,3730.826,4802.554,3675.926,4337.122,3253.080,3495.614,300,6,50,1,3.000,0.335,0.00,10.12,9787.15,4.37,165.5,1.000,2.98,0.775,765.3,ON,73.600,77.841,59.116,140.746,2.319,2.029286e+003,Short,MASIN,,,,,Normal Scan,
5,12/6/2020,12:48:01,25.1,99.7,49.0,6.89969e-008,1.84246e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,553.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,790.800,0.000,0.000,348.916,1005.892,0.000,927.749,296.874,856.351,274.410,1055.061,1777.402,977.624,705.732,680.230,1092.711,631.922,1421.262,1567.705,1513.162,1096.711,1058.737,341.457,660.103,640.018,923.764,449.152,728.505,422.012,959.828,663.265,770.813,627.489,1217.453,0.000,694.131,899.924,1751.423,751.077,1415.131,1631.368,2146.404,878.689,1587.317,1157.181,1739.963,1620.927,2037.236,1733.659,2218.148,2050.585,1867.677,1547.540,2487.349,2688.040,2493.305,3269.350,1281.669,2734.453,2874.650,2452.456,3334.321,1888.405,2303.291,2237.642,2104.245,1979.387,2603.865,3432.927,2929.373,3236.481,2817.801,3331.724,3122.912,3816.187,3104.585,4109.201,3418.867,2917.871,3495.614,300,6,50,1,3.000,0.335,0.00,10.12,9787.15,4.37,165.5,1.000,2.98,0.775,765.3,ON,72.283,77.814,61.464,145.902,2.147,2.050486e+003,Short,MASIN,,,,,Normal Scan,
6,12/6/2020,12:53:31,25.2,99.7,49.3,6.90262e-008,1.84293e-005,,0.000,0.000,0.000,0.000,816.673,0.000,0.000,0.000,0.000,0.000,0.000,1205.347,0.000,1107.261,0.000,0.000,0.000,467.946,0.000,0.000,0.000,790.820,0.000,363.695,348.924,335.306,321.439,309.257,593.763,1141.829,274.417,263.772,507.842,977.649,941.000,1360.495,1311.286,631.938,406.085,979.840,945.750,365.580,1058.763,1365.861,495.090,320.017,1385.681,299.442,728.523,844.046,822.731,795.938,642.360,376.503,852.239,591.065,462.765,1237.426,1423.067,858.395,627.248,917.288,500.190,1366.885,1525.497,1218.000,915.794,2881.740,1240.089,1907.075,2218.218,3443.510,2150.217,2606.450,2005.978,1818.420,2727.135,3086.799,2434.519,2364.727,2286.405,1693.715,1946.953,2492.623,2231.361,2016.850,2892.280,2138.350,2727.256,3503.101,2906.512,3649.230,3610.133,3470.660,3678.183,4371.339,3399.276,3190.513,4805.349,3301.539,4294.965,300,6,50,1,3.000,0.335,0.00,10.12,9787.21,4.37,165.5,1.000,2.98,0.775,765.4,ON,75.032,80.185,62.266,151.247,2.260,2.092034e+003,Short,MASIN,,,,,Normal Scan,
7,12/6/2020,12:59:01,25.4,99.7,49.4,6.90850e-008,1.84389e-005,,963.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,628.757,0.000,577.463,0.000,0.000,0.000,0.000,933.153,446.118,0.000,0.000,0.000,0.000,725.261,629.524,398.019,0.000,925.056,888.037,853.865,1641.683,1246.766,1078.394,1218.484,2345.613,1582.598,1307.448,1260.177,1214.689,1172.367,2074.560,729.019,703.776,1361.864,987.282,638.161,921.084,1343.546,1307.504,1122.101,1093.764,793.609,384.288,875.936,623.750,926.634,576.764,1121.641,873.171,1497.796,938.119,1533.851,888.370,1654.933,1425.969,1214.436,1460.983,1975.388,1766.372,2240.172,1595.157,2203.454,2227.809,2355.186,2017.171,1875.121,2453.678,2340.416,2794.602,1815.426,1712.235,1982.460,2473.695,2389.876,2296.605,2489.508,2336.624,1903.165,2526.150,2247.256,2352.726,3546.161,2284.348,3536.246,3660.923,3573.964,2974.607,4089.477,3211.550,3120.873,3973.473,300,6,50,1,3.000,0.336,0.00,10.11,9787.33,4.37,165.5,1.000,2.98,0.775,764.3,ON,66.516,73.175,54.468,145.902,2.360,2.147686e+003,Short,MASIN,,,,,Normal Scan,
8,12/6/2020,13:04:31,25.5,99.7,49.5,6.91144e-008,1.84436e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,630.650,0.000,0.000,553.672,530.297,0.000,487.545,467.981,447.461,429.792,1645.530,1186.318,0.000,1454.890,1395.801,1005.992,642.926,1237.122,890.711,856.436,1921.064,2637.915,1015.759,3177.596,705.803,1360.597,1529.948,1685.295,2639.750,1763.845,1513.314,548.411,529.421,1365.964,825.212,320.041,769.881,748.662,1602.872,844.110,822.793,397.999,899.372,753.063,1217.576,472.888,809.901,1012.534,766.325,965.768,731.845,1528.930,1700.775,1366.990,1716.316,2037.879,1122.017,1981.337,1648.488,2201.177,2389.021,2351.848,2128.102,2058.405,1524.662,2134.833,2415.641,2381.683,2140.993,2336.487,1717.393,2198.475,2273.016,2614.990,1655.658,2782.368,2627.743,2191.028,3097.486,2872.758,2861.074,2788.543,3540.992,3887.439,2811.581,3573.043,3260.805,3660.691,3219.526,3342.432,4614.718,300,6,50,1,3.000,0.335,0.00,10.11,9787.37,4.37,165.5,1.000,2.98,0.775,765.6,ON,62.711,70.587,50.706,162.531,2.470,2.327750e+003,Short,MASIN,,,,,Normal Scan,
9,12/6/2020,13:10:01,25.6,99.7,49.5,6.91438e-008,1.84484e-005,,963.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,446.140,428.524,410.168,788.544,377.800,725.297,0.000,1003.022,320.514,0.000,296.027,284.636,1915.393,789.038,506.380,487.418,1407.438,226.097,1525.432,420.080,202.458,1758.638,1821.819,1155.690,2463.340,1532.173,1316.442,1755.030,1228.173,895.742,2469.854,1262.427,820.364,1190.473,1024.820,1126.260,1541.330,1214.508,807.511,1570.377,1528.127,1925.836,1355.129,1829.300,1744.927,1607.026,1521.111,2242.165,1735.015,1346.924,1542.243,1948.151,2381.971,2679.893,2357.542,2226.246,2320.249,2049.698,2796.994,1846.759,2048.225,1653.259,1832.536,2378.010,2182.787,2607.296,3014.454,2062.836,1964.922,2830.546,2392.727,3423.164,2225.559,3413.916,2623.994,3529.892,3044.834,3874.485,3389.522,3457.998,4237.182,3748.002,3813.138,300,6,50,1,3.000,0.336,0.00,10.11,9787.45,4.37,165.5,1.000,2.98,0.775,764.5,ON,64.786,73.600,56.354,151.247,2.237,2.268964e+003,Short,MASIN,,,,,Normal Scan,
