Sample File,C:\Users\fvanden\Documents\AIMdata\LongTerm.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,12/6/2020,12:26:00,25.3,99.7,49.8,6.90556e-008,1.84341e-005,,932.715,654.740,797.158,903.159,826.558,832.766,746.350,886.633,749.707,1085.639,666.611,661.029,937.534,834.468,1052.730,747.010,803.648,944.043,1071.402,1239.506,868.500,1101.403,1080.704,1179.338,1021.668,941.889,1135.786,922.216,1258.411,1164.332,1089.222,1518.487,1316.018,1439.037,1451.095,1621.057,1630.304,1686.754,1903.598,1898.733,1917.804,1722.577,1911.033,1655.087,1591.300,1897.257,1883.281,1786.927,1977.980,2014.099,1769.289,2064.443,1971.753,2044.201,2304.405,2559.509,2071.104,2747.309,2583.596,2499.534,2767.127,2717.062,3332.407,2798.072,2998.306,3007.173,2782.822,3074.413,2732.219,2398.011,2747.872,2782.557,2590.782,2334.471,2325.827,2236.963,1838.242,1936.780,1345.109,1457.623,1319.109,1139.946,1368.208,1345.358,992.293,877.650,612.922,717.057,590.686,727.919,449.779,535.516,290.515,308.844,273.162,264.045,84.865,86.404,189.494,59.396,45.398,61.709,47.201,15.944,16.272,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.373,0.00,11.54,9603.59, 14.3,749.9,1.000,3.93,7.36,721.6,ON,105.885,123.006,92.181,135.773,2.256,2.299968e+003,Long Term,MASIN,,,,,Normal Scan,
2,12/6/2020,12:31:29,25.3,99.8,49.6,6.89864e-008,1.84341e-005,,374.093,119.783,0.000,111.282,107.255,241.236,299.345,192.620,310.239,329.458,376.708,364.128,380.209,339.710,381.180,494.600,501.402,605.104,495.331,392.494,532.524,619.918,662.104,746.180,763.736,798.912,656.008,922.298,1176.326,1154.604,1248.168,1257.065,1151.122,1625.946,1467.572,1548.556,1559.645,1654.318,1778.582,1628.328,1797.296,1813.978,1886.042,2083.456,1882.806,1915.399,1735.852,2154.313,1992.479,2087.178,2244.917,2516.637,2506.039,2489.265,2595.733,2974.289,2813.595,2985.253,3345.274,3707.272,3457.748,3159.191,3452.326,3560.470,3318.954,3871.454,3056.594,3459.625,3333.624,3125.989,3285.756,2852.261,2737.040,2718.801,2600.238,1994.527,2214.680,1766.643,1603.980,1799.662,1610.679,1466.424,1285.107,1231.284,1220.926,1011.129,654.514,812.960,637.858,439.622,437.814,584.143,340.983,306.731,332.338,112.717,229.441,150.176,67.559,103.233,122.741,35.750,0.000,18.474,0.000,19.250,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.54,9618.35, 14.3,749.9,1.000,3.93,7.47,782.3,ON,120.391,134.587,109.427,151.247,1.973,2.304634e+003,Long Term,MASIN,,,,,Normal Scan,
3,12/6/2020,12:36:59,25.5,99.8,49.9,6.90451e-008,1.84436e-005,,166.281,79.864,38.489,0.000,71.511,68.928,133.056,64.213,217.190,329.480,173.882,280.125,407.402,365.885,355.795,272.054,358.180,512.068,578.230,639.407,745.604,702.644,857.259,889.187,912.018,803.434,887.188,861.323,1276.008,1059.487,1202.957,1230.404,1305.805,1065.165,1607.198,1800.454,1768.133,1873.218,2050.098,1609.114,1957.757,2012.995,1899.668,1896.260,2019.177,2159.059,1985.477,2085.087,1941.267,2236.075,2168.438,2146.109,2423.000,2446.383,2544.296,2664.302,2688.061,3067.944,2733.789,3132.826,3140.136,3330.774,3333.109,3463.310,3793.796,3513.112,3491.527,3775.800,3037.404,3482.291,3192.104,3022.309,2865.020,2648.801,2578.383,2596.241,2202.544,2438.167,2035.071,2251.378,1734.389,1476.838,1493.733,1603.994,1531.776,1112.489,839.402,667.647,721.354,747.432,545.579,463.076,363.697,333.603,230.458,245.097,127.522,150.189,152.020,120.455,70.143,17.877,36.464,18.476,18.856,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.52,9634.09, 14.3,749.9,1.000,3.93,7.47,782.5,ON,123.545,138.091,112.422,145.902,1.963,2.356884e+003,Long Term,MASIN,,,,,Normal Scan,
4,12/6/2020,12:42:29,25.5,99.8,50.1,6.90451e-008,1.84436e-005,,207.206,199.041,76.739,36.982,0.000,103.074,232.125,192.042,92.789,298.601,288.908,279.256,297.834,390.797,532.045,517.772,285.651,556.880,695.883,613.026,760.327,618.059,680.128,886.650,736.890,759.480,1053.115,796.068,1345.289,1066.503,1140.011,1244.655,1281.969,1544.364,1605.437,1706.701,1483.664,1848.024,2020.145,1597.530,1925.876,1873.850,1685.809,2043.820,1776.077,1905.506,1735.499,1980.196,1793.919,2213.625,2191.845,2255.982,2094.750,2353.245,2333.978,2463.836,2666.786,2804.922,3120.099,2983.474,3237.333,3246.014,3503.354,3200.330,3107.155,3560.781,3024.779,2758.443,2613.815,2770.827,2280.822,2915.877,2267.749,2106.608,2024.891,1999.453,1747.937,1568.571,1401.023,1213.734,1273.762,1260.996,1249.443,1041.553,879.397,621.418,785.059,731.504,767.231,701.279,564.136,305.067,378.047,248.189,205.116,163.895,225.337,66.547,117.871,34.308,69.925,35.643,18.176,18.419,0.000,19.192,0.000,19.888,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.52,9634.09, 14.3,749.9,1.000,3.93,7.47,781.1,ON,115.689,130.477,105.516,151.247,1.976,2.134776e+003,Long Term,MASIN,,,,,Normal Scan,
5,12/6/2020,12:47:59,25.6,99.8,50.1,6.90745e-008,1.84484e-005,,207.861,0.000,0.000,37.099,35.757,34.467,166.332,64.217,217.202,209.686,202.880,112.056,353.106,392.034,306.628,394.137,501.472,395.701,417.994,511.144,426.078,310.007,553.538,577.689,649.264,873.374,819.655,798.588,887.815,830.581,1222.778,1182.221,1222.816,1671.499,1637.806,1710.261,1805.455,1774.801,1974.259,1741.036,1901.648,1962.166,2572.589,1954.382,2104.283,2142.997,2397.051,2447.859,2310.160,2310.501,2180.906,2820.934,2893.112,2734.511,2986.731,3007.330,2804.575,3458.007,3013.381,3621.119,3339.512,3501.162,3586.587,3502.980,3990.254,3251.946,3678.070,3351.923,3316.614,3402.785,3197.458,3009.961,3084.411,2706.317,2360.619,2458.158,2113.030,2172.153,1984.623,1609.973,1460.047,1438.368,1244.885,953.063,1215.626,914.328,815.679,818.511,755.783,498.313,521.258,441.884,364.307,275.252,226.526,276.922,275.455,200.266,168.920,51.625,52.610,53.634,36.465,18.477,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.52,9635.64, 14.3,749.9,1.000,3.93,7.47,782.6,ON,120.385,135.710,112.206,145.902,1.901,2.367973e+003,Long Term,MASIN,,,,,Normal Scan,
6,12/6/2020,12:53:29,25.7,99.8,50.0,6.91039e-008,1.84531e-005,,166.298,39.936,38.493,74.201,71.518,0.000,33.267,32.110,124.121,119.823,173.901,168.092,135.815,130.685,279.585,222.613,214.927,279.334,270.245,327.145,477.551,322.121,401.356,412.437,649.309,828.361,645.278,496.917,781.194,1084.362,1087.855,1268.459,1093.477,1418.724,1580.679,1437.754,1633.587,1675.747,1684.134,1544.449,2049.247,1762.509,1737.695,2012.783,1834.241,1825.533,1927.728,1970.335,2019.950,1845.857,2108.668,2323.824,2008.672,2766.252,2578.459,2791.902,2617.914,2896.843,3090.664,2927.477,3048.825,3206.980,3303.799,3349.742,3635.616,3001.104,3283.055,3659.309,3422.537,3241.544,3276.947,2684.852,2755.873,2622.341,2846.599,2300.825,2089.798,2300.814,1926.710,1766.659,1595.326,1663.171,1510.990,1265.397,873.621,1011.335,928.238,831.980,713.338,505.757,487.423,450.593,459.117,326.793,194.345,253.223,262.276,150.208,118.252,51.627,70.150,125.153,72.938,18.478,37.716,57.763,19.527,0.000,0.000,0.000,300,8,50,1,3.000,0.322,0.00,11.51,9637.67, 14.3,749.9,1.000,3.93,7.47,782.6,ON,126.542,141.882,117.590,162.531,1.893,2.192204e+003,Long Term,MASIN,,,,,Normal Scan,
7,12/6/2020,12:58:59,25.9,99.8,49.9,6.91626e-008,1.84626e-005,,254.782,0.000,38.377,0.000,71.304,137.460,199.009,192.082,154.686,209.061,260.074,307.244,379.143,390.879,354.774,320.592,261.899,580.195,359.236,602.526,707.129,680.002,461.936,703.196,668.156,776.446,962.522,877.372,1024.950,948.197,1398.742,1248.384,1442.303,1315.586,1571.137,1695.693,1966.085,1819.531,1824.647,1875.774,1730.614,2025.314,1698.390,1953.047,2011.570,1839.797,2055.486,1882.656,1796.719,2118.427,1848.589,2363.814,2625.487,2411.657,2492.625,2836.696,2770.344,2841.811,3046.156,3153.379,3076.961,3255.388,4001.167,2986.484,3684.792,3501.767,3421.102,3376.601,3261.789,3405.322,2873.186,3213.097,3319.442,2644.058,2847.909,2499.166,2170.189,2140.705,2075.653,1833.100,1929.528,1671.326,1251.605,1278.392,1278.423,1256.921,986.261,901.747,755.334,723.291,685.028,526.205,427.221,310.306,236.724,224.802,147.088,183.036,117.896,154.421,69.940,53.476,0.000,18.423,18.802,19.196,0.000,19.893,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.51,9641.25, 14.3,749.9,1.000,3.93,7.47,781.5,ON,124.328,139.378,113.498,135.773,1.962,2.334013e+003,Long Term,MASIN,,,,,Normal Scan,
8,12/6/2020,13:04:29,26.0,99.8,49.8,6.91919e-008,1.84674e-005,,168.420,202.228,233.905,0.000,36.216,69.817,67.384,97.560,282.838,242.709,381.601,226.984,385.136,502.947,360.374,325.657,338.602,565.798,387.721,441.757,690.478,586.097,650.381,716.082,1051.365,1009.574,867.058,844.772,945.734,1133.298,1201.265,1173.372,1562.573,1606.065,1689.541,1625.350,1939.973,1833.612,1804.737,2232.908,1918.716,2070.362,1861.436,1963.686,2049.072,1595.877,2475.123,1899.991,2321.825,2204.601,2378.833,2242.616,2260.028,2637.605,2909.206,2858.230,3115.416,2718.083,2974.573,3408.281,2993.082,3843.185,3313.106,3708.293,3677.222,3503.812,3772.816,3100.318,3241.698,3436.902,3045.952,2863.249,2960.407,2789.644,2995.629,2324.370,2701.469,2368.821,1906.599,2033.984,2012.185,1542.396,1533.294,1181.283,1267.955,1108.477,971.373,1054.170,780.377,595.783,603.341,444.592,340.976,346.728,432.840,195.733,282.231,236.635,34.217,156.860,106.570,90.540,36.934,56.142,0.000,19.500,19.776,0.000,0.000,0.000,300,8,50,1,3.000,0.318,0.00,11.51,9642.80, 14.3,749.9,1.000,3.93,7.48,788.2,ON,122.625,138.484,112.401,130.975,1.970,2.412139e+003,Long Term,MASIN,,,,,Normal Scan,
9,12/6/2020,13:09:59,26.1,99.8,49.6,6.92213e-008,1.84721e-005,,82.908,0.000,38.381,0.000,35.655,0.000,66.342,32.017,92.821,179.215,202.298,223.473,270.846,416.985,329.461,147.978,333.362,464.208,381.725,478.415,276.161,534.527,641.568,607.077,1028.267,759.712,526.714,729.225,1090.500,1178.280,1123.864,1081.327,1458.503,1364.800,1554.904,1673.460,1520.646,1917.688,1961.188,2043.953,2164.884,2147.140,2476.243,2400.818,1952.658,2098.224,2234.590,2471.157,2425.756,2375.419,2028.793,2733.083,2457.810,2414.224,2705.919,3113.069,2969.224,3201.914,3111.111,3370.104,3271.501,3108.234,3646.084,3609.014,3230.763,3569.617,3630.986,3453.980,3140.627,3338.770,3077.424,3394.812,3282.409,2876.916,2802.771,2704.543,2165.198,2456.793,2313.870,2039.736,1638.696,1707.470,1457.969,1442.313,1209.443,1147.105,884.901,698.663,599.632,774.591,668.992,557.539,534.292,403.440,236.749,208.775,228.827,149.770,151.596,137.275,52.460,0.000,18.181,0.000,18.804,38.397,38.941,0.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.51,9645.80, 14.3,749.9,1.000,3.93,7.47,781.6,ON,123.085,139.657,115.218,135.773,1.906,2.403429e+003,Long Term,MASIN,,,,,Normal Scan,
